table,file,md5,rows,columns,source_script
sample_means,sample_means.csv,17b73d8be9420d36f1f8ee96f88adb2a,90,3,create_S6_cd274_all_celltypes.py
tests,tests.csv,e1e48f4526ca2acb75f4d4241449a204,9,2,create_S6_cd274_all_celltypes.py
