order,sample,cell_type,proportion
9,P02-P1,Hepatocytes,0.0018623900672529747
9,P02-P1,Mast cells,0.010450077599586136
9,P02-P1,Monocytes/Macrophages,0.0727366787377134
9,P02-P1,Neutrophils,0.0007242628039317124
9,P02-P1,Pericytes,0.022762545266425245
9,P02-P1,Plasma cells,0.04857734092084842
9,P02-P1,T/NK cells,0.07873771339886187
10,P21-P1,B cells,0.008432229856339788
10,P21-P1,Dendritic cells,0.02514053716427233
10,P21-P1,Endothelial cells,0.031386633354153655
10,P21-P1,Epithelial cells,0.3257339163023111
10,P21-P1,Fibroblasts,0.06855090568394753
10,P21-P1,Hepatocytes,0.0010930668332292317
10,P21-P1,Mast cells,0.020455965021861335
10,P21-P1,Monocytes/Macrophages,0.14678326046221113
10,P21-P1,Neutrophils,0.07979387882573391
10,P21-P1,Pericytes,0.015771392879450345
10,P21-P1,Plasma cells,0.008744534665833853
10,P21-P1,T/NK cells,0.26811367895065585
11,P22-P1,B cells,0.09095897928385238
11,P22-P1,Dendritic cells,0.011112635478117711
11,P22-P1,Endothelial cells,0.02099053368088901
11,P22-P1,Epithelial cells,0.1655919879270133
11,P22-P1,Fibroblasts,0.04156948826999588
11,P22-P1,Hepatocytes,0.00027438606118809165
11,P22-P1,Mast cells,0.015914391548909314
11,P22-P1,Monocytes/Macrophages,0.06612704074633009
11,P22-P1,Neutrophils,0.06283440801207299
11,P22-P1,Pericytes,0.002332281520098779
11,P22-P1,Plasma cells,0.3824941692961997
11,P22-P1,T/NK cells,0.1397996981753327
12,P23-P2,B cells,0.0038461538461538464
12,P23-P2,Dendritic cells,0.004807692307692308
12,P23-P2,Endothelial cells,0.09326923076923077
12,P23-P2,Epithelial cells,0.3278846153846154
12,P23-P2,Fibroblasts,0.26634615384615384
12,P23-P2,Hepatocytes,0.0
12,P23-P2,Mast cells,0.0009615384615384616
12,P23-P2,Monocytes/Macrophages,0.1764423076923077
12,P23-P2,Neutrophils,0.014903846153846155
12,P23-P2,Pericytes,0.014423076923076924
12,P23-P2,Plasma cells,0.01826923076923077
12,P23-P2,T/NK cells,0.07884615384615384
13,P24-P2,B cells,0.00760043431053203
13,P24-P2,Dendritic cells,0.008143322475570033
13,P24-P2,Endothelial cells,0.041530944625407164
13,P24-P2,Epithelial cells,0.48615635179153094
13,P24-P2,Fibroblasts,0.07546145494028231
13,P24-P2,Hepatocytes,0.0005428881650380022
13,P24-P2,Mast cells,0.017915309446254073
13,P24-P2,Monocytes/Macrophages,0.07953311617806731
13,P24-P2,Neutrophils,0.016829533116178068
13,P24-P2,Pericytes,0.010586319218241042
13,P24-P2,Plasma cells,0.10857763300760044
13,P24-P2,T/NK cells,0.1471226927252986
14,P25-P1,B cells,0.26769078295341925
14,P25-P1,Dendritic cells,0.009415262636273538
14,P25-P1,Endothelial cells,0.055896927651139745
14,P25-P1,Epithelial cells,0.0933597621407334
14,P25-P1,Fibroblasts,0.002477700693756194
14,P25-P1,Hepatocytes,0.0009910802775024777
14,P25-P1,Mast cells,0.018037661050545096
14,P25-P1,Monocytes/Macrophages,0.08602576808721507
14,P25-P1,Neutrophils,0.0014866204162537165
14,P25-P1,Pericytes,0.001288404360753221
14,P25-P1,Plasma cells,0.10158572844400396
14,P25-P1,T/NK cells,0.36174430128840435
15,P26-P1,B cells,0.00011630611770179111
15,P26-P1,Dendritic cells,0.0008141428239125378
15,P26-P1,Endothelial cells,0.024656896952779717
15,P26-P1,Epithelial cells,0.9216096766689927
15,P26-P1,Fibroblasts,0.007210979297511049
15,P26-P1,Hepatocytes,0.0015119795301232846
15,P26-P1,Mast cells,0.0032565712956501513
15,P26-P1,Monocytes/Macrophages,0.013258897418004187
15,P26-P1,Neutrophils,0.004070714119562689
15,P26-P1,Pericytes,0.008606652709932543
15,P26-P1,Plasma cells,0.0018608978832286578
15,P26-P1,T/NK cells,0.013026285182600605
16,P34-P2,B cells,0.004307974335472044
16,P34-P2,Dendritic cells,0.009440879926672778
16,P34-P2,Endothelial cells,0.045096241979835014
16,P34-P2,Epithelial cells,0.6253895508707608
16,P34-P2,Fibroblasts,0.027956003666361137
16,P34-P2,Hepatocytes,0.0035747021081576533
16,P34-P2,Mast cells,0.017965169569202567
16,P34-P2,Monocytes/Macrophages,0.09385884509624198
16,P34-P2,Neutrophils,0.017598533455545372
16,P34-P2,Pericytes,0.01915673693858845
16,P34-P2,Plasma cells,0.017781851512373967
16,P34-P2,T/NK cells,0.11787351054078826
17,P28-P1,B cells,0.009750297265160524
17,P28-P1,Dendritic cells,0.0064209274673008325
17,P28-P1,Endothelial cells,0.015457788347205707
17,P28-P1,Epithelial cells,0.07491082045184304
17,P28-P1,Fibroblasts,0.023543400713436385
17,P28-P1,Hepatocytes,0.0
17,P28-P1,Mast cells,0.000713436385255648
17,P28-P1,Monocytes/Macrophages,0.08370986920332937
17,P28-P1,Neutrophils,0.06516052318668251
17,P28-P1,Pericytes,0.0033293697978596906
17,P28-P1,Plasma cells,0.5645659928656361
17,P28-P1,T/NK cells,0.15243757431629013
18,P33-P1,B cells,0.003484320557491289
18,P33-P1,Dendritic cells,0.010452961672473868
18,P33-P1,Endothelial cells,0.04200542005420054
18,P33-P1,Epithelial cells,0.3219125048393341
18,P33-P1,Fibroblasts,0.02981029810298103
18,P33-P1,Hepatocytes,0.004452187379016648
18,P33-P1,Mast cells,0.02013162988772745
18,P33-P1,Monocytes/Macrophages,0.30003871467286103
18,P33-P1,Neutrophils,0.15776229190863336
18,P33-P1,Pericytes,0.008904374758033295
18,P33-P1,Plasma cells,0.036585365853658534
18,P33-P1,T/NK cells,0.06445993031358885
19,P05-P2,B cells,0.00960591133004926
19,P05-P2,Dendritic cells,0.0022988505747126436
19,P05-P2,Endothelial cells,0.010098522167487686
19,P05-P2,Epithelial cells,0.8045155993431855
19,P05-P2,Fibroblasts,0.002134646962233169
19,P05-P2,Hepatocytes,0.0012315270935960591
19,P05-P2,Mast cells,0.007471264367816092
19,P05-P2,Monocytes/Macrophages,0.080623973727422
19,P05-P2,Neutrophils,0.004022988505747126
19,P05-P2,Pericytes,0.002955665024630542
19,P05-P2,Plasma cells,0.03858784893267652
19,P05-P2,T/NK cells,0.03645320197044335
20,P35-P1,B cells,0.011506276150627616
20,P35-P1,Dendritic cells,0.008368200836820083
20,P35-P1,Endothelial cells,0.02594142259414226
20,P35-P1,Epithelial cells,0.12866108786610878
20,P35-P1,Fibroblasts,0.016945606694560668
20,P35-P1,Hepatocytes,0.0
20,P35-P1,Mast cells,0.021966527196652718
20,P35-P1,Monocytes/Macrophages,0.30627615062761504
20,P35-P1,Neutrophils,0.2700836820083682
20,P35-P1,Pericytes,0.005857740585774059
20,P35-P1,Plasma cells,0.12133891213389121
20,P35-P1,T/NK cells,0.08305439330543933
21,P29-P1,B cells,0.08239700374531835
21,P29-P1,Dendritic cells,0.008426966292134831
21,P29-P1,Endothelial cells,0.007256554307116105
21,P29-P1,Epithelial cells,0.08637640449438203
21,P29-P1,Fibroblasts,0.0028089887640449437
21,P29-P1,Hepatocytes,0.00046816479400749064
21,P29-P1,Mast cells,0.044709737827715354
21,P29-P1,Monocytes/Macrophages,0.046348314606741575
21,P29-P1,Neutrophils,0.05360486891385768
21,P29-P1,Pericytes,0.0
21,P29-P1,Plasma cells,0.5955056179775281
21,P29-P1,T/NK cells,0.07209737827715355
22,P30-P1,B cells,0.07276190476190476
22,P30-P1,Dendritic cells,0.006380952380952381
22,P30-P1,Endothelial cells,0.03209523809523809
22,P30-P1,Epithelial cells,0.550952380952381
22,P30-P1,Fibroblasts,0.003904761904761905
22,P30-P1,Hepatocytes,0.0030476190476190477
22,P30-P1,Mast cells,0.040857142857142856
22,P30-P1,Monocytes/Macrophages,0.10123809523809524
22,P30-P1,Neutrophils,0.07885714285714286
22,P30-P1,Pericytes,0.002476190476190476
22,P30-P1,Plasma cells,0.06533333333333333
22,P30-P1,T/NK cells,0.042095238095238095
23,P31-P1,B cells,0.11363636363636363
23,P31-P1,Dendritic cells,0.028166278166278168
23,P31-P1,Endothelial cells,0.010878010878010878
23,P31-P1,Epithelial cells,0.32847707847707847
23,P31-P1,Fibroblasts,0.010683760683760684
23,P31-P1,Hepatocytes,0.0011655011655011655
23,P31-P1,Mast cells,0.08527583527583528
23,P31-P1,Monocytes/Macrophages,0.13267288267288269
23,P31-P1,Neutrophils,0.011072261072261072
23,P31-P1,Pericytes,0.001554001554001554
23,P31-P1,Plasma cells,0.15520590520590521
23,P31-P1,T/NK cells,0.12121212121212122
24,P32-P1,B cells,0.07531949605728269
24,P32-P1,Dendritic cells,0.003716124354210097
24,P32-P1,Endothelial cells,0.016042780748663103
24,P32-P1,Epithelial cells,0.34587147647965194
24,P32-P1,Fibroblasts,0.002447203843016405
24,P32-P1,Hepatocytes,0.0010876461524517358
24,P32-P1,Mast cells,0.02284056920148645
24,P32-P1,Monocytes/Macrophages,0.060454998640442306
24,P32-P1,Neutrophils,0.0013595576905646696
24,P32-P1,Pericytes,0.0023565666636454273
24,P32-P1,Plasma cells,0.18290582797063357
24,P32-P1,T/NK cells,0.2855977521979516
25,P03-P1,B cells,0.0011682242990654205
25,P03-P1,Dendritic cells,0.007009345794392523
25,P03-P1,Endothelial cells,0.07059412550066756
25,P03-P1,Epithelial cells,0.6912550066755674
25,P03-P1,Fibroblasts,0.01718958611481976
25,P03-P1,Hepatocytes,0.0010013351134846463
25,P03-P1,Mast cells,0.012683578104138851
25,P03-P1,Monocytes/Macrophages,0.03938584779706275
25,P03-P1,Neutrophils,0.002336448598130841
25,P03-P1,Pericytes,0.041555407209612816
25,P03-P1,Plasma cells,0.011181575433911883
25,P03-P1,T/NK cells,0.10463951935914553
26,P04-P1,B cells,0.00890829694323144
26,P04-P1,Dendritic cells,0.01222707423580786
26,P04-P1,Endothelial cells,0.0359825327510917
26,P04-P1,Epithelial cells,0.5793886462882096
26,P04-P1,Fibroblasts,0.04611353711790393
26,P04-P1,Hepatocytes,0.00034934497816593884
26,P04-P1,Mast cells,0.009956331877729258
26,P04-P1,Monocytes/Macrophages,0.07895196506550219
26,P04-P1,Neutrophils,0.0
26,P04-P1,Pericytes,0.02777292576419214
26,P04-P1,Plasma cells,0.14008733624454148
26,P04-P1,T/NK cells,0.06026200873362445
27,P01-P1,B cells,0.006225165562913908
27,P01-P1,Dendritic cells,0.008211920529801325
27,P01-P1,Endothelial cells,0.03986754966887417
27,P01-P1,Epithelial cells,0.6380132450331126
27,P01-P1,Fibroblasts,0.022781456953642386
27,P01-P1,Hepatocytes,0.0009271523178807947
27,P01-P1,Mast cells,0.05125827814569536
27,P01-P1,Monocytes/Macrophages,0.05139072847682119
27,P01-P1,Neutrophils,0.02728476821192053
27,P01-P1,Pericytes,0.01960264900662252
27,P01-P1,Plasma cells,0.025695364238410595
