before_x,before_y,after_x,after_y,sample_idx
12.037580490112305,-4.545710563659668,1.7567312717437744,21.020647048950195,31
12.099488258361816,-4.732913970947266,1.3045278787612915,21.236980438232422,31
11.620445251464844,-2.4225778579711914,1.9425870180130005,18.88324546813965,15
9.904318809509277,-2.503040075302124,-0.3848603069782257,17.870718002319336,15
11.904219627380371,-2.0296435356140137,2.638127088546753,18.67219352722168,15
10.889368057250977,-2.241145610809326,1.0630511045455933,18.657745361328125,15
11.418831825256348,-4.262118816375732,0.28374233841896057,20.50846290588379,15
9.99333667755127,-2.3386921882629395,-0.5296308994293213,17.577342987060547,15
11.22011947631836,-2.9380152225494385,1.6149816513061523,20.252920150756836,15
11.415449142456055,-2.558934450149536,1.5721595287322998,19.395328521728516,15
11.448718070983887,-4.664622783660889,0.24097655713558197,20.817686080932617,15
12.500404357910156,-2.4612388610839844,2.9604082107543945,20.234786987304688,15
9.740235328674316,-2.6167149543762207,-0.5038045048713684,18.55577278137207,15
10.847270011901855,-2.030635356903076,1.4450823068618774,18.143911361694336,15
10.583967208862305,-2.017310619354248,1.0804898738861084,17.322965621948242,15
11.009298324584961,-1.9564663171768188,1.4604558944702148,18.94402503967285,15
11.337983131408691,-2.1382527351379395,2.246084451675415,18.50118637084961,15
11.426595687866211,-2.6581273078918457,1.6900473833084106,20.20813751220703,15
11.02700138092041,-2.094710111618042,1.56907320022583,18.104503631591797,15
10.567657470703125,-4.627376079559326,-0.5055930614471436,20.2329044342041,15
11.272367477416992,-2.8560469150543213,0.762951672077179,19.251108169555664,32
13.182388305664062,-2.4914956092834473,3.29496169090271,21.15167808532715,32
11.087859153747559,-2.41571044921875,1.4506709575653076,18.987632751464844,32
12.677029609680176,-2.654412269592285,1.3637524843215942,20.209871292114258,25
12.712895393371582,-1.960211992263794,1.4483219385147095,20.670106887817383,25
12.8008451461792,-2.192007303237915,2.7652032375335693,19.53030014038086,25
13.192200660705566,-2.14251446723938,3.0559468269348145,20.654029846191406,25
11.78355884552002,-2.173034429550171,1.2082690000534058,18.219289779663086,25
12.184320449829102,-2.310685157775879,0.8968200087547302,18.20856285095215,25
12.277579307556152,-1.4554516077041626,2.4536237716674805,18.674949645996094,25
12.28458023071289,-1.983801245689392,1.631216287612915,19.767637252807617,25
12.95527458190918,-3.066075563430786,1.1585065126419067,21.201618194580078,25
12.65491008758545,-1.7240389585494995,2.6912739276885986,19.62344741821289,25
10.563776969909668,-2.1449708938598633,-0.19531846046447754,18.43006134033203,25
12.722709655761719,-1.9491266012191772,3.1987829208374023,19.592683792114258,25
