cell_type,rank,RES
Fibroblast,0,-1.7587055926837847e-05
Fibroblast,1,-3.5174111853675694e-05
Fibroblast,2,-5.276116778051354e-05
Fibroblast,3,-7.034822370735139e-05
Fibroblast,4,-8.793527963418924e-05
Fibroblast,5,-0.00010552233556102708
Fibroblast,6,-0.00012310939148786493
Fibroblast,7,-0.00014069644741470278
Fibroblast,8,-0.00015828350334154062
Fibroblast,9,-0.00017587055926837847
Fibroblast,10,0.06059809956715593
Fibroblast,11,0.06058051251122909
Fibroblast,12,0.06056292545530225
Fibroblast,13,0.06054533839937541
Fibroblast,14,0.06052775134344857
Fibroblast,15,0.060510164287521734
Fibroblast,16,0.060492577231594895
Fibroblast,17,0.060474990175668056
Fibroblast,18,0.06045740311974122
Fibroblast,19,0.10880615363760521
Fibroblast,20,0.10878856658167838
Fibroblast,21,0.10877097952575154
Fibroblast,22,0.10875339246982471
Fibroblast,23,0.10873580541389788
Fibroblast,24,0.10871821835797105
Fibroblast,25,0.15462341080855768
Fibroblast,26,0.15460582375263085
Fibroblast,27,0.15458823669670402
Fibroblast,28,0.15457064964077719
Fibroblast,29,0.15455306258485035
Fibroblast,30,0.15453547552892352
Fibroblast,31,0.1545178884729967
Fibroblast,32,0.15450030141706986
Fibroblast,33,0.15448271436114303
Fibroblast,34,0.19174489010610626
Fibroblast,35,0.19172730305017943
Fibroblast,36,0.1917097159942526
Fibroblast,37,0.19169212893832577
Fibroblast,38,0.22724143215307613
Fibroblast,39,0.2272238450971493
Fibroblast,40,0.22720625804122246
Fibroblast,41,0.22718867098529563
Fibroblast,42,0.26233630335683744
Fibroblast,43,0.2623187163009106
Fibroblast,44,0.2623011292449837
Fibroblast,45,0.26228354218905686
Fibroblast,46,0.26226595513313
Fibroblast,47,0.26224836807720314
Fibroblast,48,0.2622307810212763
Fibroblast,49,0.2622131939653494
Fibroblast,50,0.26219560690942256
Fibroblast,51,0.2621780198534957
Fibroblast,52,0.26216043279756884
Fibroblast,53,0.262142845741642
Fibroblast,54,0.2621252586857151
Fibroblast,55,0.26210767162978826
Fibroblast,56,0.2620900845738614
Fibroblast,57,0.26207249751793454
Fibroblast,58,0.2620549104620077
Fibroblast,59,0.2620373234060808
Fibroblast,60,0.292637095242887
Fibroblast,61,0.29261950818696014
Fibroblast,62,0.2926019211310333
Fibroblast,63,0.2925843340751064
Fibroblast,64,0.29256674701917956
Fibroblast,65,0.2925491599632527
Fibroblast,66,0.29253157290732584
Fibroblast,67,0.292513985851399
Fibroblast,68,0.2924963987954721
Fibroblast,69,0.29247881173954526
Fibroblast,70,0.2924612246836184
Fibroblast,71,0.32131591432293155
Fibroblast,72,0.3212983272670047
Fibroblast,73,0.32128074021107783
Fibroblast,74,0.3498268753076668
Fibroblast,75,0.34980928825173996
