table,file,md5,rows,columns,source_script
es_curves,es_curves.csv,ffa12026a356f456cba5963427352c7a,113092,3,create_panel_g_gsea_2types.py
gsea_stats,gsea_stats.csv,4b70bb313438a69e23bed35400bcc9ca,2,6,create_panel_g_gsea_2types.py
