cell,phase,NES_A,NES_A0,NES_B,NES_T,NES_dep,FDRq_A,FDRq_A0,FDRq_B,FDRq_T,FDRq_dep
B_cells,post,-1.3786750539762012,-1.807170809117037,-1.6650872162074415,-1.2250325374702604,-1.7848125933218155,0.0371272306279691,0.0045263498221791,0.0129286339406476,1.0,0.0042226071892594
B_cells,pre,-0.7288838644418377,1.1142196623638885,-0.9629146515464746,1.1589297129599767,-1.7260128404410928,0.9453402366863906,1.0,0.8528893002099951,0.6917693814076719,0.0191582506176585
DC_cells,post,1.4337425053773334,1.3365901183137918,2.1350536016678188,1.6907379193871164,-1.3089389567399798,0.7801961700140121,1.0,0.0,0.0517385645221271,0.6226513667319712
DC_cells,pre,1.4774905100987088,-0.8451082133339535,1.2817879900690916,-0.7592577680614042,-1.8615607010257371,0.1639098338004816,0.951364536199095,0.1786691542288557,1.0,0.3382040497766986
Endothelial_cells,post,1.128311772734186,1.0084810564414717,1.8131255225062315,1.2457532556333186,-1.1645786872831672,1.0,0.8603563038371183,0.003467843631778,1.0,0.6181176754862873
Endothelial_cells,pre,1.442201273956238,1.866460738555679,2.0004486356154585,2.0068181403176366,-1.505860862235168,0.0173341976944107,0.0,0.0,0.0,0.4336151839525052
Epithelial,post,1.7789903881970082,1.8065382544189368,1.927789126789144,1.9003179569875683,-1.3428522910088572,0.0,0.0,0.0,0.0,0.3630765164530197
Epithelial,pre,0.7787994011483439,-0.8631259980595722,-0.8539570951345545,-0.918560626601446,-1.4144234348403808,0.974109404891164,0.9359720974475506,0.99946648882961,0.7923317907653911,0.9539241933211215
Fibroblast,post,1.6618495495630057,1.8646188885832955,2.208773223875121,1.6017596791091258,0.8202178847006182,0.0,0.0,0.0,0.0,0.9558117195004804
Fibroblast,pre,-1.393665524207269,-1.400574988640516,1.454385253968429,-1.2501931581110088,-1.3874070161753906,1.0,0.2026248678235989,0.0667613190002656,0.9324404945586208,0.524314730822323
Mast_cells,post,1.2622475448941326,1.289061907677013,1.5773420964407323,1.375037662526419,-1.74776550303671,1.0,0.8916716958358479,0.1388315015287992,0.5033341929779317,0.0
Mast_cells,pre,-1.4782690536933665,-1.735790801692966,-1.74949100118062,-1.5143536700776807,-1.7075986437022193,0.1416491776074967,0.0,0.0155709597186042,0.0123631680618158,0.0
MoMac,post,1.735595894941815,1.9431065916493893,2.3799150121259967,2.2283340056431222,0.8917187133395894,0.0,0.0,0.0,0.0,0.8958845642518976
MoMac,pre,-1.030419587413533,-1.0577577504658575,-1.5287685841778382,-1.001138034142407,-1.4913591092405671,0.7895896167271002,0.871928885054612,0.0759731796132812,0.8924723127788953,0.8935347209430836
NK_cells,post,-1.059053605513563,1.0108675335663,0.7789159750511071,1.1588285175859845,-1.7856321431336248,0.8912081540480332,1.0,0.9195629124453556,0.9250016751380792,0.0
NK_cells,pre,1.4894124478710418,1.573106038005251,1.6111363107044745,1.696672267995732,-1.4194694530343654,0.0400423196930029,0.0872511933711609,0.0340677625727974,0.0474345691247353,1.0
Neutrophils,post,1.328628273491451,1.339773438664348,1.294511032568189,1.3166519123518958,-1.2250322411535424,0.2375855855855856,0.2520168011200747,0.2991229381571735,0.2460688672101207,0.5396021182195505
Neutrophils,pre,-1.4419138818255,-1.5924716926916431,-1.8300030748426164,-1.2524210666008162,-0.7163945822721766,1.0,0.0699868774604761,0.0083205977245712,1.0,0.9227884674494377
Pericyte,post,-0.9927451976140772,0.7853190894818809,1.5245609258198238,0.909951680001516,-0.5887674758818038,0.6713393439061481,0.8912362503444038,0.0485175202156334,0.8079966045613215,1.0
Pericyte,pre,-1.4567337024310472,-1.334437792645971,-1.3132697298977456,-1.3369771175980705,-1.5651526620109422,0.1855392427420245,0.0950430056754529,0.2990809032111652,0.0728250285762668,0.1248755624576912
Plasma_cells,post,1.363424566276473,1.3073108105049602,1.752280386305008,1.385684676349474,-1.440267445524558,0.7815968718466196,0.6359431780640898,0.0,0.2022351767887069,0.219227635652599
Plasma_cells,pre,-1.1497050896507544,-1.3021457089350752,1.0369077758787533,-1.2008940343486234,-1.0249732998172585,0.7877136891556831,0.9481990521327014,0.7578925661764465,1.0,0.8206686930091185
TCD4_cells,post,0.7176397417406694,0.9731413074691064,1.708106474714641,1.1690295765047647,-1.624871886150938,1.0,0.7980361092556195,0.1126131158529773,0.801828870019595,0.0
TCD4_cells,pre,1.4619805579326737,1.603650534511474,-1.553887640843361,1.7489944064675536,-1.7745436853479628,0.0846156256855432,0.0547136918331768,0.0769198542041979,0.0708671562942919,0.0
TCD8_cells,post,-0.6918025742109919,0.9265673848339344,1.1766149321128136,1.125536646300778,-1.644682260838071,0.932500864290653,1.0,0.3773864570075239,1.0,0.0
TCD8_cells,pre,1.3850145973187522,1.5379225163248416,0.9690325550938838,1.6928389282148293,-1.677134396084728,0.177710362446112,0.1579443288445683,0.8174779554089898,0.0155923770601039,0.0014099069461415
