cell,phase,spec,formula,n_ref_cells,n_test_cells,n_samples,n_genes_tested,nfkb_nes,nfkb_nom_p,nfkb_fdr_q,nfkb_rank,n_sets
Mast_cells,post,A0,~ condition,831,808,11,2270,1.289061907677013,0.0865921787709497,0.8916716958358479,3,40
Mast_cells,post,B,~ condition + cngeneson + (1 | sample_id),831,808,11,2270,1.5773420964407323,0.0029717682020802,0.1388315015287992,1,40
Mast_cells,post,T,Welch t-test,831,808,11,2270,1.375037662526419,0.0196353436185133,0.5033341929779317,3,40
Mast_cells,post,dep,~ condition + sample_id + cngeneson,831,808,11,2270,-1.74776550303671,0.0,0.0,40,40
Mast_cells,pre,A,~ condition + cngeneson,380,799,8,2288,-1.4782690536933665,0.031858407079646,0.1416491776074967,37,40
Mast_cells,pre,A0,~ condition,380,799,8,2288,-1.735790801692966,0.0,0.0,40,40
Mast_cells,pre,B,~ condition + cngeneson + (1 | sample_id),380,799,8,2288,-1.74949100118062,0.0016666666666666,0.0155709597186042,38,40
Mast_cells,pre,T,Welch t-test,380,799,8,2288,-1.5143536700776807,0.0,0.0123631680618158,40,40
Mast_cells,pre,dep,~ condition + sample_id + cngeneson,380,799,8,2288,-1.7075986437022193,0.0,0.0,40,40
MoMac,post,A,~ condition + cngeneson,2512,8628,11,4693,1.735595894941815,0.0,0.0,1,43
MoMac,post,A0,~ condition,2512,8628,11,4693,1.9431065916493893,0.0,0.0,1,43
MoMac,post,B,~ condition + cngeneson + (1 | sample_id),2512,8628,11,4693,2.3799150121259967,0.0,0.0,1,43
MoMac,post,T,Welch t-test,2512,8628,11,4693,2.2283340056431222,0.0,0.0,1,43
MoMac,post,dep,~ condition + sample_id + cngeneson,2512,8628,11,4693,0.8917187133395894,0.6489563567362429,0.8958845642518976,17,43
MoMac,pre,A,~ condition + cngeneson,2110,2776,8,5868,-1.030419587413533,0.402002861230329,0.7895896167271002,32,45
MoMac,pre,A0,~ condition,2110,2776,8,5868,-1.0577577504658575,0.3613360323886639,0.871928885054612,27,45
MoMac,pre,B,~ condition + cngeneson + (1 | sample_id),2110,2776,8,5868,-1.5287685841778382,0.0018181818181818,0.0759731796132812,43,45
MoMac,pre,T,Welch t-test,2110,2776,8,5868,-1.001138034142407,0.5116044399596368,0.8924723127788953,21,45
MoMac,pre,dep,~ condition + sample_id + cngeneson,2110,2776,8,5868,-1.4913591092405671,0.032069970845481,0.8935347209430836,45,45
NK_cells,post,A,~ condition + cngeneson,636,1451,11,2062,-1.059053605513563,0.3559718969555035,0.8912081540480332,29,39
NK_cells,post,A0,~ condition,636,1451,11,2062,1.0108675335663,0.4806565064478312,1.0,12,39
NK_cells,post,B,~ condition + cngeneson + (1 | sample_id),636,1451,11,2062,0.7789159750511071,0.8764568764568764,0.9195629124453556,17,39
NK_cells,post,T,Welch t-test,636,1451,11,2062,1.1588285175859845,0.2211328976034858,0.9250016751380792,9,39
NK_cells,post,dep,~ condition + sample_id + cngeneson,636,1451,11,2062,-1.7856321431336248,0.0,0.0,39,39
NK_cells,pre,A,~ condition + cngeneson,630,1115,8,2308,1.4894124478710418,0.0012360939431396,0.0400423196930029,2,39
NK_cells,pre,A0,~ condition,630,1115,8,2308,1.573106038005251,0.008,0.0872511933711609,2,39
NK_cells,pre,B,~ condition + cngeneson + (1 | sample_id),630,1115,8,2308,1.6111363107044745,0.0,0.0340677625727974,3,39
NK_cells,pre,T,Welch t-test,630,1115,8,2308,1.696672267995732,0.0,0.0474345691247353,1,39
NK_cells,pre,dep,~ condition + sample_id + cngeneson,630,1115,8,2308,-1.4194694530343654,0.0551724137931034,1.0,39,39
Neutrophils,post,A,~ condition + cngeneson,1981,3283,11,1024,1.328628273491451,0.0485762144053601,0.2375855855855856,6,26
Neutrophils,post,A0,~ condition,1981,3283,11,1024,1.339773438664348,0.0544323483670295,0.2520168011200747,5,26
Neutrophils,post,B,~ condition + cngeneson + (1 | sample_id),1981,3283,11,1024,1.294511032568189,0.0649819494584837,0.2991229381571735,6,26
Neutrophils,post,T,Welch t-test,1981,3283,11,1024,1.3166519123518958,0.0512445095168374,0.2460688672101207,7,26
Neutrophils,post,dep,~ condition + sample_id + cngeneson,1981,3283,11,1024,-1.2250322411535424,0.1342685370741483,0.5396021182195505,22,26
Neutrophils,pre,A,~ condition + cngeneson,983,270,7,1506,-1.4419138818255,0.0356564019448946,1.0,34,34
Neutrophils,pre,A0,~ condition,983,270,7,1506,-1.5924716926916431,0.0,0.0699868774604761,34,34
Neutrophils,pre,B,~ condition + cngeneson + (1 | sample_id),983,270,7,1506,-1.8300030748426164,0.0,0.0083205977245712,34,34
Neutrophils,pre,T,Welch t-test,983,270,7,1506,-1.2524210666008162,0.037,1.0,34,34
Neutrophils,pre,dep,~ condition + sample_id + cngeneson,983,270,7,1506,-0.7163945822721766,0.9930555555555556,0.9227884674494377,20,34
Pericyte,post,A,~ condition + cngeneson,297,1544,11,6403,-0.9927451976140772,0.4705882352941176,0.6713393439061481,34,49
Pericyte,post,A0,~ condition,297,1544,11,6403,0.7853190894818809,0.7979651162790697,0.8912362503444038,29,49
Pericyte,post,B,~ condition + cngeneson + (1 | sample_id),297,1544,11,6403,1.5245609258198238,0.0075187969924812,0.0485175202156334,7,49
Pericyte,post,T,Welch t-test,297,1544,11,6403,0.909951680001516,0.6399026763990268,0.8079966045613215,30,49
Pericyte,post,dep,~ condition + sample_id + cngeneson,297,1544,11,6403,-0.5887674758818038,0.9954545454545456,1.0,15,49
Pericyte,pre,A,~ condition + cngeneson,526,675,8,6445,-1.4567337024310472,0.0192644483362521,0.1855392427420245,45,49
Pericyte,pre,A0,~ condition,526,675,8,6445,-1.334437792645971,0.0010090817356205,0.0950430056754529,41,49
Pericyte,pre,B,~ condition + cngeneson + (1 | sample_id),526,675,8,6445,-1.3132697298977456,0.0552763819095477,0.2990809032111652,43,49
Pericyte,pre,T,Welch t-test,526,675,8,6445,-1.3369771175980705,0.0,0.0728250285762668,45,49
Pericyte,pre,dep,~ condition + sample_id + cngeneson,526,675,8,6445,-1.5651526620109422,0.0019880715705765,0.1248755624576912,49,49
Plasma_cells,post,A,~ condition + cngeneson,1659,1689,11,2549,1.363424566276473,0.0036188178528347,0.7815968718466196,1,41
Plasma_cells,post,A0,~ condition,1659,1689,11,2549,1.3073108105049602,0.0270906949352179,0.6359431780640898,3,41
Plasma_cells,post,B,~ condition + cngeneson + (1 | sample_id),1659,1689,11,2549,1.752280386305008,0.0,0.0,1,41
Plasma_cells,post,T,Welch t-test,1659,1689,11,2549,1.385684676349474,0.0024813895781637,0.2022351767887069,3,41
Plasma_cells,post,dep,~ condition + sample_id + cngeneson,1659,1689,11,2549,-1.440267445524558,0.0049079754601227,0.219227635652599,41,41
Plasma_cells,pre,A,~ condition + cngeneson,3713,2174,8,3279,-1.1497050896507544,0.29082774049217,0.7877136891556831,36,41
Plasma_cells,pre,A0,~ condition,3713,2174,8,3279,-1.3021457089350752,0.1238779174147217,0.9481990521327014,38,41
Plasma_cells,pre,B,~ condition + cngeneson + (1 | sample_id),3713,2174,8,3279,1.0369077758787533,0.4278506559031281,0.7578925661764465,23,41
Plasma_cells,pre,T,Welch t-test,3713,2174,8,3279,-1.2008940343486234,0.2181208053691275,1.0,38,41
Plasma_cells,pre,dep,~ condition + sample_id + cngeneson,3713,2174,8,3279,-1.0249732998172585,0.4642857142857143,0.8206686930091185,38,41
TCD4_cells,post,A,~ condition + cngeneson,3528,2481,11,2869,0.7176397417406694,0.8364485981308412,1.0,14,39
TCD4_cells,post,A0,~ condition,3528,2481,11,2869,0.9731413074691064,0.4711815561959654,0.7980361092556195,19,39
TCD4_cells,post,B,~ condition + cngeneson + (1 | sample_id),3528,2481,11,2869,1.708106474714641,0.0,0.1126131158529773,1,39
TCD4_cells,post,T,Welch t-test,3528,2481,11,2869,1.1690295765047647,0.2200956937799043,0.801828870019595,10,39
TCD4_cells,post,dep,~ condition + sample_id + cngeneson,3528,2481,11,2869,-1.624871886150938,0.0,0.0,39,39
TCD4_cells,pre,A,~ condition + cngeneson,1748,2940,8,3376,1.4619805579326737,0.0022727272727272,0.0846156256855432,1,41
TCD4_cells,pre,A0,~ condition,1748,2940,8,3376,1.603650534511474,0.0048465266558966,0.0547136918331768,1,41
TCD4_cells,pre,B,~ condition + cngeneson + (1 | sample_id),1748,2940,8,3376,-1.553887640843361,0.0016750418760469,0.0769198542041979,40,41
TCD4_cells,pre,T,Welch t-test,1748,2940,8,3376,1.7489944064675536,0.0,0.0708671562942919,1,41
TCD4_cells,pre,dep,~ condition + sample_id + cngeneson,1748,2940,8,3376,-1.7745436853479628,0.0,0.0,41,41
TCD8_cells,post,A,~ condition + cngeneson,1534,1874,11,2165,-0.6918025742109919,0.9394495412844036,0.932500864290653,15,38
TCD8_cells,post,A0,~ condition,1534,1874,11,2165,0.9265673848339344,0.596130592503023,1.0,15,38
TCD8_cells,post,B,~ condition + cngeneson + (1 | sample_id),1534,1874,11,2165,1.1766149321128136,0.1638418079096045,0.3773864570075239,7,38
TCD8_cells,post,T,Welch t-test,1534,1874,11,2165,1.125536646300778,0.2895299145299145,1.0,9,38
TCD8_cells,post,dep,~ condition + sample_id + cngeneson,1534,1874,11,2165,-1.644682260838071,0.0,0.0,38,38
TCD8_cells,pre,A,~ condition + cngeneson,1330,2050,8,2646,1.3850145973187522,0.0043243243243243,0.177710362446112,4,39
TCD8_cells,pre,A0,~ condition,1330,2050,8,2646,1.5379225163248416,0.0040322580645161,0.1579443288445683,1,39
TCD8_cells,pre,B,~ condition + cngeneson + (1 | sample_id),1330,2050,8,2646,0.9690325550938838,0.5275938189845475,0.8174779554089898,13,39
TCD8_cells,pre,T,Welch t-test,1330,2050,8,2646,1.6928389282148293,0.0059970014992503,0.0155923770601039,1,39
TCD8_cells,pre,dep,~ condition + sample_id + cngeneson,1330,2050,8,2646,-1.677134396084728,0.0,0.0014099069461415,39,39
