cell,phase,gene,coefC_base,coefC_perm1,coefC_perm2,coefC_perm3,coefC_perm4,coefC_perm5,coefC_perm6,range_across_labellings,sign_flips
MoMac,post,ACTB,0.24649925858762442,0.023628201619824707,0.4429310241883874,-0.4446615711374737,-0.06940372083593216,0.2246983558250911,-0.24822980553671112,0.8875925953258611,1
MoMac,post,ACTG1,0.47840804185077934,0.06417253670214036,0.05868338291292631,-0.2991684639267817,0.4599420295785465,-0.09347332065702846,-0.7188931228646341,1.1973011647154135,1
MoMac,post,AGR2,-0.05549778978016364,0.07783668886892639,-0.7945926682160173,0.16389699702151111,0.6902612520470431,-0.5188093708480206,-0.5751978814143435,1.4848539202630604,1
MoMac,post,ANXA2,0.556420963661695,0.02478626543617082,-0.265728401299289,-0.2838316084680937,0.4310590306410949,-0.4708755717360583,-1.105980973429078,1.662401937090773,1
MoMac,post,APOE,0.7009554885006389,-0.20386957141430012,-0.6542291930108288,1.2596383358257492,1.225524544665267,-0.317812500328206,-0.09554634568571732,1.913867528836578,1
MoMac,post,ATP5F1E,-0.06917519545866109,0.27808244060379583,-0.2955180279229857,-0.19519591217279328,-0.11347789808251409,-0.3933555039091548,-0.4215387446371181,0.699621185240914,1
MoMac,post,B2M,0.018158045399829455,-0.23150760535172318,-0.16913020353129957,0.3265384212918343,-0.3521096463650431,-0.19817003844576228,0.1392501723607059,0.6786480676568774,1
MoMac,post,BTG1,-0.172038452353754,0.5037721471844776,0.13429511319525483,0.16688833126775693,0.23038131070227472,0.9819307069249079,0.4732218968167638,1.1539691592786618,1
MoMac,post,CALR,-0.9521133870738422,0.17622687937338688,-0.631475322350097,-0.38983051541475283,-0.21172297369750404,0.17830123333209477,-0.06919245069100692,1.1304146204059369,1
MoMac,post,CCL3,0.36673190505971553,-0.6557479476127996,1.2629644940152285,-0.37972537135975987,-0.39596254700878036,0.3653211451155994,0.5165072175957522,1.9187124416280281,1
MoMac,post,CCL4,0.6556651241860341,-1.0197082236197228,1.2841531445699068,-0.7067264129338374,-0.41186132008093207,-0.11621104506690995,-0.07823839254996377,2.3038613681896294,1
MoMac,post,CCL4L2,0.07853283899846086,-1.3779093363719783,0.6738382338624175,-0.5854771852781478,-0.5300689976839341,-0.6421123255599915,0.009828209585809426,2.051747570234396,1
MoMac,post,CD52,0.14209405194463054,0.46286911120660246,-0.5941372375861623,-0.3032217551746521,-0.20021665968619445,-0.47466772152749787,-1.039453044705445,1.5023221559120477,1
MoMac,post,CD63,0.8105587549117546,0.23993892575974698,-0.4846457108346451,0.1985885583588608,0.6576104010705655,-0.8354543291528801,-1.0966159073875381,1.9071746622992927,1
MoMac,post,CD74,-1.645963460183157,-0.27360775426448514,-0.19670483993983395,-0.5066263428564823,-1.1805559285673823,0.6812804167542867,0.9426322773868405,2.5885957375699977,1
MoMac,post,CFL1,0.23124227143906553,0.1466941307978454,-0.14597312995789327,-0.2321752507746969,0.23537102691184508,-0.048736879795690406,-0.6093906521716553,0.8447616790835004,1
MoMac,post,CHCHD2,0.186015290726109,0.203910840019902,-0.21395091227964416,0.028400605823675734,0.21740892353671076,-0.05695008824859798,-0.3715655971820775,0.5889745207187882,1
MoMac,post,COX7C,-0.06575321372888421,0.2504144052262811,-0.23014193300456967,-0.1367313973952599,-0.20336622913619962,-0.18555012311648406,-0.3011201166709452,0.5515345218972263,1
