cell,phase,spec,formula,source,n_ref_cells,n_test_cells,n_genes_tested,n_samples,n_genes_fit,converged_C,converged_D,na_coefC,na_coefD,n_genes_returned,nfkb_nes,nfkb_nom_p,nfkb_fdr_q,nfkb_rank,n_sets,minutes,status
Epithelial,post,A,~ condition + cngeneson,Epithelial.h5ad,15180,14365,3640,11,3640.0,3640.0,3640.0,0.0,0.0,3640,1.7789903881970082,0.0,0.0,1,42,41.07,ok
Epithelial,post,A0,~ condition,Epithelial.h5ad,15180,14365,3640,11,3640.0,3640.0,3640.0,0.0,0.0,3640,1.8065382544189368,0.0,0.0,1,42,12.43,ok
Epithelial,post,B,~ condition + cngeneson + (1 | sample_id),Epithelial.h5ad,15180,14365,3640,11,3640.0,3640.0,3640.0,0.0,0.0,3640,1.927789126789144,0.0,0.0,1,42,37.88,ok
Epithelial,post,T,Welch t-test,Epithelial.h5ad,15180,14365,3640,11,,,,,,3640,1.9003179569875683,0.0,0.0,1,42,2.22,ok
Epithelial,post,dep,~ condition + sample_id + cngeneson,Epithelial.h5ad,15180,14365,3640,11,3640.0,3640.0,3640.0,0.0,0.0,3640,-1.3428522910088572,0.0460122699386503,0.3630765164530197,38,42,38.97,ok
Epithelial,pre,A,~ condition + cngeneson,Epithelial.h5ad,10752,26878,4085,8,4085.0,4085.0,4085.0,0.0,0.0,4085,0.7787994011483439,0.8052763819095478,0.974109404891164,28,43,50.3,ok
Epithelial,pre,A0,~ condition,Epithelial.h5ad,10752,26878,4085,8,4085.0,4085.0,4085.0,0.0,0.0,4085,-0.8631259980595722,0.6758104738154613,0.9359720974475506,29,43,19.27,ok
Epithelial,pre,B,~ condition + cngeneson + (1 | sample_id),Epithelial.h5ad,10752,26878,4085,8,4085.0,4084.0,4084.0,0.0,1.0,4084,-0.8539570951345545,0.728125,0.99946648882961,34,43,76.75,ok
Epithelial,pre,T,Welch t-test,Epithelial.h5ad,10752,26878,4085,8,,,,,,4085,-0.918560626601446,0.6240963855421687,0.7923317907653911,28,43,2.27,ok
Epithelial,pre,dep,~ condition + sample_id + cngeneson,Epithelial.h5ad,10752,26878,4085,8,4085.0,4085.0,4085.0,0.0,0.0,4085,-1.4144234348403808,0.0385964912280701,0.9539241933211215,43,43,72.35,ok
Fibroblast,post,A,~ condition + cngeneson,Fibroblast.h5ad,838,1939,6157,11,6157.0,6157.0,6157.0,0.0,0.0,6157,1.6618495495630057,0.0,0.0,1,49,6.11,ok
Fibroblast,post,A0,~ condition,Fibroblast.h5ad,838,1939,6157,11,6157.0,6157.0,6157.0,0.0,0.0,6157,1.8646188885832955,0.0,0.0,1,49,3.37,ok
Fibroblast,post,B,~ condition + cngeneson + (1 | sample_id),Fibroblast.h5ad,838,1939,6157,11,6157.0,6157.0,6154.0,0.0,3.0,6154,2.208773223875121,0.0,0.0,1,49,32.34,ok
Fibroblast,post,T,Welch t-test,Fibroblast.h5ad,838,1939,6157,11,,,,,,6157,1.6017596791091258,0.0,0.0,1,49,0.16,ok
Fibroblast,post,dep,~ condition + sample_id + cngeneson,Fibroblast.h5ad,838,1939,6157,11,6157.0,6157.0,6157.0,0.0,0.0,6157,0.8202178847006182,0.7511961722488039,0.9558117195004804,16,49,5.33,ok
Fibroblast,pre,A,~ condition + cngeneson,Fibroblast.h5ad,1109,679,6801,8,6801.0,6801.0,6801.0,0.0,0.0,6801,-1.393665524207269,0.0398970398970398,1.0,49,49,5.38,ok
Fibroblast,pre,A0,~ condition,Fibroblast.h5ad,1109,679,6801,8,6801.0,6801.0,6801.0,0.0,0.0,6801,-1.400574988640516,0.001,0.2026248678235989,45,49,2.81,ok
Fibroblast,pre,B,~ condition + cngeneson + (1 | sample_id),Fibroblast.h5ad,1109,679,6801,8,6801.0,6801.0,6797.0,0.0,4.0,6797,1.454385253968429,0.0114942528735632,0.0667613190002656,11,49,20.88,ok
Fibroblast,pre,T,Welch t-test,Fibroblast.h5ad,1109,679,6801,8,,,,,,6801,-1.2501931581110088,0.017,0.9324404945586208,47,49,0.17,ok
