spec_a,spec_b,n_contrasts,n_same_sign,spearman_NES
dep,A0,26,11,0.187008547008547
dep,A,26,13,0.1617094017094017
dep,B,26,10,0.4782905982905982
dep,T,26,11,0.14256410256410257
A0,A,26,20,0.8796581196581197
A0,B,26,21,0.6841025641025641
A0,T,26,26,0.9705982905982906
A,B,26,19,0.6943589743589742
A,T,26,20,0.894017094017094
B,T,26,21,0.6923076923076923
