bin_left,bin_right,singlet_density,doublet_density,n_singlet,n_doublet
0.0,0.005,0.2452403762571806,,542121,0
0.005,0.01,2.906264911391656,,542121,0
0.01,0.015,6.143585835981166,,542121,0
0.015,0.02,8.074437667146295,,542121,0
0.02,0.025,9.849563708863052,,542121,0
0.025,0.03,11.27070024819954,,542121,0
0.03,0.035,12.484325699933779,,542121,0
0.035,0.04,12.540179842942596,,542121,0
0.04,0.045,13.588092340584515,,542121,0
0.045,0.05,13.707938316311987,,542121,0
0.05,0.055,12.529822783311825,,542121,0
0.055,0.06,11.793361864566656,,542121,0
0.06,0.065,11.394984963768776,,542121,0
0.065,0.07,10.441395687764235,,542121,0
0.07,0.075,8.964774900405793,,542121,0
0.075,0.08,8.011925414374852,,542121,0
0.08,0.085,6.694359471346079,,542121,0
0.085,0.09,5.606498315128346,,542121,0
0.09,0.095,4.726888036486438,,542121,0
0.095,0.1,3.8605939773698212,,542121,0
0.1,0.105,3.569486622747809,,542121,0
0.105,0.11,2.962119054400453,,542121,0
0.11,0.115,2.1483500834113176,,542121,0
0.115,0.12,2.4487048127036783,,542121,0
0.12,0.125,1.7503430776002677,,542121,0
0.125,0.13,1.5261867155914424,,542121,0
0.13,0.135,1.2302707261408474,,542121,0
0.135,0.14,1.2228728264045827,,542121,0
0.14,0.145,0.9180793572704752,,542121,0
0.145,0.15,0.8674037440770558,,542121,0
0.15,0.155,0.8196872907781473,,542121,0
0.155,0.16,0.5733372295605272,,542121,0
0.16,0.165,0.5892427139934967,,542121,0
0.165,0.17,0.5818448142572318,,542121,0
0.17,0.17500000000000002,0.3565787672879666,,542121,0
0.17500000000000002,0.18,0.48382264275172504,,542121,0
0.18,0.185,0.40281564063962205,,542121,0
0.185,0.19,0.180878648551676,,542121,0
0.19,0.195,0.378402571509948,,542121,0
0.195,0.2,0.1627537941978271,,542121,0
0.2,0.20500000000000002,0.3018343092396066,,542121,0
0.20500000000000002,0.21,0.16164410923738826,,542121,0
0.21,0.215,0.17754959367035683,,542121,0
0.215,0.22,0.17717969868354358,,542121,0
0.22,0.225,0.09839206649232275,,542121,0
0.225,0.23,0.13316219525276762,,542121,0
0.23,0.23500000000000001,0.1202158707143041,,542121,0
0.23500000000000001,0.24,0.07989731715166103,,542121,0
0.24,0.245,0.11651692084617167,,542121,0
0.245,0.25,0.06251225277143814,,542121,0
0.25,0.255,0.12687398047694248,,542121,0
0.255,0.26,0.03255075883956542,,542121,0
0.26,0.265,0.07693815725715462,,542121,0
0.265,0.27,0.05215519314066732,,542121,0
0.27,0.275,0.06214235778462489,,542121,0
0.275,0.28,0.04993582321978785,,542121,0
0.28,0.28500000000000003,0.049196033246161376,,542121,0
0.28500000000000003,0.29,0.03920886860220424,,542121,0
0.29,0.295,0.04845624327253489,,542121,0
0.295,0.3,0.025522754090113793,,542121,0
