minor_cell_state,n_cells,monocyte_score,macrophage_score,lineage_index
C1_Mono_Classic_CD14,16147,2.0708606967867094,-0.5975108851065959,-2.668371581893305
C4_Mono_Alternative_CD16,3115,0.8660030287737003,-0.5294752720491079,-1.3954783008228082
C3_Mac_Inflam_IL1B,9893,0.9082940627286736,-0.14384165060451287,-1.0521357133331863
C2_MoMac_Intermediate_HLA-DRA,12147,0.5474712575703793,0.17978449294234158,-0.36768676462803773
C6_Mac_Metallothionein_MT1G,978,0.3384702086800799,0.7745603266882507,0.43609011800817077
C5_Mac_Prolif_MKI67,1508,-0.04121322458169118,0.9513302273301295,0.9925434519118206
C0_Mac_Classic_TREM2,24501,0.04466825791217788,1.3635215604917104,1.3188533025795324
