nhood,x,y,Nhood_size,logFC,SpatialFDR,graph_color
0,-1.936032772064209,12.942832946777344,31.0,-2.254359279069885,0.9647636786647844,-2.254359279069885
1,0.4826124310493469,13.173166275024414,17.0,-1.2727729506429344,0.9647636786647844,-1.2727729506429344
2,-1.1182445287704468,3.872751235961914,62.0,-1.9665389871657535,0.9647636786647844,-1.9665389871657535
3,1.9482463598251343,3.870431423187256,53.0,-0.24485267692549942,0.9954581155312646,-0.24485267692549942
4,-0.9336597919464111,-1.0928059816360474,150.0,0.9790013828985393,0.9647636786647844,0.9790013828985393
5,-1.2035934925079346,-1.5535801649093628,89.0,0.7804113176690463,0.9647636786647844,0.7804113176690463
6,-3.1889050006866455,3.804814577102661,53.0,-0.0997379061643024,0.9954581155312646,-0.0997379061643024
7,-1.5591931343078613,-0.7556456327438354,41.0,0.07769025273959297,0.9954581155312646,0.07769025273959297
8,1.8847978115081787,4.57958459854126,83.0,0.36229423655381576,0.9954581155312646,0.36229423655381576
9,1.0241127014160156,-5.695366382598877,34.0,-0.2772720287490933,0.9954581155312646,-0.2772720287490933
10,-0.6692622303962708,5.965395450592041,41.0,-2.2741022992350075,0.9647636786647844,-2.2741022992350075
11,-0.8667274713516235,11.013310432434082,62.0,-1.4909307156127196,0.9647636786647844,-1.4909307156127196
12,0.16678473353385925,7.995357513427734,38.0,-0.24903890507142523,0.9954581155312646,-0.24903890507142523
13,-1.145349383354187,11.58774185180664,36.0,-1.171548718082647,0.9647636786647844,-1.171548718082647
14,1.4473210573196411,-5.078608989715576,24.0,0.5337454104738774,0.9954581155312646,0.5337454104738774
15,-2.2804341316223145,7.335387229919434,68.0,-1.4202075081451495,0.9647636786647844,-1.4202075081451495
16,-2.7604782581329346,10.4249849319458,30.0,0.9150459500581388,0.9647636786647844,0.9150459500581388
17,-3.984093189239502,2.089780569076538,60.0,1.004713333483964,0.9647636786647844,1.004713333483964
18,-3.5826644897460938,0.9626945853233337,37.0,-0.20005873444405367,0.9954581155312646,-0.20005873444405367
19,-1.0587087869644165,9.28006649017334,70.0,-1.4303373520924334,0.9647636786647844,-1.4303373520924334
20,0.33569908142089844,-3.339298963546753,67.0,0.4851737796289441,0.9647636786647844,0.4851737796289441
21,0.048491671681404114,-4.776432037353516,34.0,-0.202737829022731,0.9954581155312646,-0.202737829022731
22,1.30204439163208,4.99672269821167,80.0,-1.4743143315266658,0.9647636786647844,-1.4743143315266658
23,-1.5437456369400024,7.363999843597412,181.0,-0.6445518265767557,0.9647636786647844,-0.6445518265767557
24,-2.3872172832489014,12.436576843261719,27.0,-2.2068278506956855,0.9647636786647844,-2.2068278506956855
25,-0.7314608693122864,-3.6330254077911377,39.0,0.8698703452755735,0.9647636786647844,0.8698703452755735
26,-0.426322877407074,8.767593383789062,79.0,-0.30477481867090556,0.9954581155312646,-0.30477481867090556
27,1.336539387702942,4.462904930114746,46.0,-0.008966021035447077,0.99737174149679,-0.008966021035447077
28,0.030477872118353844,4.494093418121338,234.0,0.04517664446679867,0.9954581155312646,0.04517664446679867
29,-1.215535283088684,-3.753480911254883,35.0,1.9474849893889006,0.9647636786647844,1.9474849893889006
30,0.35076621174812317,10.907783508300781,26.0,-0.6764573781891097,0.9647636786647844,-0.6764573781891097
31,-0.4461509883403778,3.9344730377197266,57.0,0.9490099455018707,0.9647636786647844,0.9490099455018707
32,0.2548854351043701,0.5744937658309937,31.0,-0.5158025911011308,0.9936723385347489,-0.5158025911011308
33,0.4077373743057251,7.342556953430176,167.0,-1.0187042198756782,0.9647636786647844,-1.0187042198756782
34,-0.20661912858486176,-2.9203968048095703,35.0,0.40154843951205765,0.9954581155312646,0.40154843951205765
35,0.16366983950138092,3.7692649364471436,168.0,-0.31265056175564915,0.9954581155312646,-0.31265056175564915
36,-4.2975873947143555,3.4832797050476074,54.0,0.6769826287623765,0.9647636786647844,0.6769826287623765
37,-0.6949599385261536,-4.292118072509766,43.0,-0.036034983226124806,0.9954581155312646,-0.036034983226124806
38,0.18786999583244324,5.357705116271973,59.0,-1.705702153225222,0.9647636786647844,-1.705702153225222
39,-4.765228748321533,3.597440242767334,41.0,0.8398201466896638,0.9647636786647844,0.8398201466896638
40,2.5047223567962646,1.7011582851409912,31.0,0.15591487874245877,0.9954581155312646,0.15591487874245877
41,0.40101104974746704,6.871435642242432,55.0,0.3362201701006588,0.9954581155312646,0.3362201701006588
42,-0.9649946689605713,-3.5560669898986816,88.0,1.1130544842415702,0.9647636786647844,1.1130544842415702
43,0.9813170433044434,-1.716909408569336,56.0,0.3179425383384267,0.9954581155312646,0.3179425383384267
44,-4.080873489379883,2.5355887413024902,38.0,1.0407379499621732,0.9647636786647844,1.0407379499621732
45,-0.17852744460105896,7.448240756988525,80.0,-0.6397709209121689,0.9647636786647844,-0.6397709209121689
46,1.137379765510559,-4.070486068725586,59.0,-0.35539733281460845,0.9954581155312646,-0.35539733281460845
47,1.0742733478546143,4.61088228225708,77.0,0.6056421433000495,0.9647636786647844,0.6056421433000495
48,-4.168693542480469,1.5193406343460083,31.0,0.0524702681179293,0.9954581155312646,0.0524702681179293
49,1.9914857149124146,4.789592266082764,56.0,-2.479161881408632,0.9647636786647844,-2.479161881408632
50,-0.5517777800559998,11.0324068069458,75.0,-0.6787736259936025,0.9647636786647844,-0.6787736259936025
51,-4.362685680389404,3.3315963745117188,20.0,0.3655097041423031,0.9954581155312646,0.3655097041423031
52,-0.5992245674133301,6.640229225158691,40.0,0.3425720604982793,0.9954581155312646,0.3425720604982793
53,-2.616037130355835,9.739779472351074,22.0,0.1741651637622741,0.9954581155312646,0.1741651637622741
54,0.7053905725479126,2.769768238067627,114.0,-0.5882485907401258,0.9647636786647844,-0.5882485907401258
55,0.6965028643608093,-3.0520715713500977,17.0,0.7321315670862628,0.9647636786647844,0.7321315670862628
56,-3.4715511798858643,6.458207607269287,25.0,-0.7472289637631865,0.9647636786647844,-0.7472289637631865
57,-0.888653576374054,-3.867811679840088,75.0,0.34534881109466264,0.9954581155312646,0.34534881109466264
58,-2.2521488666534424,10.070327758789062,33.0,-0.799829362994567,0.9647636786647844,-0.799829362994567
59,-1.2650108337402344,-3.452387571334839,45.0,1.7298238990123944,0.9647636786647844,1.7298238990123944
60,-0.6453514099121094,8.993514060974121,37.0,0.586903730369472,0.9647636786647844,0.586903730369472
61,-4.657875061035156,1.4653327465057373,57.0,1.6381999099535358,0.9647636786647844,1.6381999099535358
62,-3.4207279682159424,-3.3442015647888184,33.0,0.37097930692965747,0.9954581155312646,0.37097930692965747
63,-1.0819690227508545,-4.227513790130615,17.0,0.21500295162172983,0.9954581155312646,0.21500295162172983
64,-2.895526647567749,10.581145286560059,24.0,-1.634430914546979,0.9647636786647844,-1.634430914546979
65,-2.1893672943115234,7.3572258949279785,36.0,-1.9404731749854156,0.9647636786647844,-1.9404731749854156
66,1.578748106956482,10.317981719970703,17.0,-0.252948884646009,0.9954581155312646,-0.252948884646009
67,0.7609996199607849,7.584102153778076,69.0,-1.6308912074203767,0.9647636786647844,-1.6308912074203767
68,4.213724136352539,1.0713123083114624,39.0,-1.987160654809924,0.9647636786647844,-1.987160654809924
69,2.269362688064575,2.131791830062866,32.0,-0.3092356767132983,0.9954581155312646,-0.3092356767132983
70,-4.2279157638549805,9.319602966308594,17.0,1.368251979952573,0.9647636786647844,1.368251979952573
71,-0.1527896374464035,-1.8386541604995728,59.0,1.4621249927197661,0.9647636786647844,1.4621249927197661
72,-3.5140554904937744,1.9006133079528809,78.0,1.025358778900392,0.9647636786647844,1.025358778900392
73,-4.497395038604736,9.913064956665039,14.0,0.5150056814462953,0.9954581155312646,0.5150056814462953
74,0.7206684947013855,7.329439163208008,220.0,-0.5406311657643262,0.9647636786647844,-0.5406311657643262
75,0.3158566951751709,-4.202378749847412,39.0,-0.6254498300912386,0.9665621202069604,-0.6254498300912386
76,-2.5196714401245117,9.610896110534668,46.0,-0.3304713265677156,0.9954581155312646,-0.3304713265677156
77,-3.554851531982422,0.3409787714481354,63.0,0.8655707463381354,0.9647636786647844,0.8655707463381354
78,0.3791714012622833,7.4980788230896,64.0,-1.5078714213869455,0.9647636786647844,-1.5078714213869455
79,0.6650650501251221,8.238767623901367,110.0,-0.19834180972607504,0.9954581155312646,-0.19834180972607504
80,-2.7320547103881836,-2.584705114364624,23.0,0.5151600556754472,0.9954581155312646,0.5151600556754472
81,2.6446731090545654,3.399326801300049,28.0,0.6802420018392364,0.9705964346690098,0.6802420018392364
82,0.01745590567588806,9.057174682617188,78.0,-1.181931587828822,0.9647636786647844,-1.181931587828822
83,-3.6164331436157227,-1.7136998176574707,28.0,1.1905856152481502,0.9647636786647844,1.1905856152481502
84,-3.178050994873047,2.8672590255737305,108.0,0.12366394572992881,0.9954581155312646,0.12366394572992881
85,0.11391157656908035,-1.5572047233581543,154.0,1.0378722059957344,0.9647636786647844,1.0378722059957344
86,0.8270502090454102,-5.3783721923828125,23.0,-0.312030680472362,0.9954581155312646,-0.312030680472362
87,1.9249714612960815,3.118745803833008,30.0,0.6464364589687556,0.9665621202069604,0.6464364589687556
88,1.9662188291549683,3.5862233638763428,55.0,0.23545643871434052,0.9954581155312646,0.23545643871434052
89,1.6499722003936768,-2.2068164348602295,54.0,-0.3743707542462024,0.9954581155312646,-0.3743707542462024
90,2.7361178398132324,-2.92197322845459,23.0,1.4957574053171339,0.9647636786647844,1.4957574053171339
91,-3.9395294189453125,1.2394201755523682,68.0,0.915563685812392,0.9647636786647844,0.915563685812392
92,0.6227014660835266,-4.5249528884887695,60.0,-0.20166215111137342,0.9954581155312646,-0.20166215111137342
93,0.20654761791229248,-2.983079433441162,31.0,-1.0580223301323894,0.9647636786647844,-1.0580223301323894
94,-2.8874919414520264,11.43355941772461,24.0,-2.83282175153233,0.9647636786647844,-2.83282175153233
95,-2.6466007232666016,7.1376142501831055,66.0,-0.9801072630413643,0.9647636786647844,-0.9801072630413643
96,1.8955070972442627,2.4747819900512695,105.0,-0.2528258472170412,0.9954581155312646,-0.2528258472170412
97,-2.2174129486083984,-2.789395809173584,52.0,0.07213167196273972,0.9954581155312646,0.07213167196273972
98,-1.4256175756454468,9.7125825881958,24.0,-0.17413926452183973,0.9954581155312646,-0.17413926452183973
99,0.22519329190254211,4.3122639656066895,163.0,0.0390561428286298,0.9954581155312646,0.0390561428286298
100,-1.2091081142425537,-0.9973039627075195,63.0,0.46968115278646577,0.9800304555604565,0.46968115278646577
101,0.7132324576377869,-5.2157511711120605,77.0,0.35201536963649677,0.9954581155312646,0.35201536963649677
102,-2.297243595123291,-0.3815513253211975,75.0,1.5673732829024347,0.9647636786647844,1.5673732829024347
103,2.3269591331481934,2.6742115020751953,40.0,-0.5605700578767963,0.9783829263042991,-0.5605700578767963
104,-4.747650623321533,3.700514078140259,28.0,0.317066062307917,0.9954581155312646,0.317066062307917
105,2.241523265838623,3.306791067123413,23.0,1.3684627937404037,0.9647636786647844,1.3684627937404037
106,-0.40881848335266113,6.101802825927734,62.0,-0.7456744150077272,0.9647636786647844,-0.7456744150077272
107,-3.448826551437378,3.158883810043335,65.0,0.16244667408220895,0.9954581155312646,0.16244667408220895
108,-3.957495927810669,2.080458164215088,58.0,1.4147375564845608,0.9647636786647844,1.4147375564845608
109,1.7667961120605469,4.861372470855713,163.0,0.02758522480514962,0.9954581155312646,0.02758522480514962
110,0.45400843024253845,4.17193078994751,66.0,-0.5907360950144842,0.9647636786647844,-0.5907360950144842
111,-0.2139628380537033,6.8495965003967285,56.0,-0.3600101026875442,0.9954581155312646,-0.3600101026875442
112,-0.21566282212734222,-1.3020281791687012,117.0,1.1111978924660755,0.9647636786647844,1.1111978924660755
113,-2.1538052558898926,11.885679244995117,30.0,-1.4289384770097089,0.9647636786647844,-1.4289384770097089
114,-1.5837419033050537,6.934895038604736,75.0,-0.20994716136102579,0.9954581155312646,-0.20994716136102579
115,3.2184643745422363,1.3766725063323975,31.0,-3.8321558310976487,0.9647636786647844,-3.8321558310976487
116,0.4541405439376831,-2.156618595123291,38.0,1.0198267238733723,0.9647636786647844,1.0198267238733723
117,1.1074389219284058,-6.163302421569824,39.0,0.39295992071982305,0.9954581155312646,0.39295992071982305
118,0.029485929757356644,-4.179886817932129,47.0,-0.7828088290742011,0.9647636786647844,-0.7828088290742011
119,-3.3863611221313477,1.0012682676315308,44.0,2.6401008726578388,0.9647636786647844,2.6401008726578388
120,-0.7989419102668762,6.529689311981201,50.0,-1.6064457952689006,0.9647636786647844,-1.6064457952689006
121,0.10983402281999588,8.075310707092285,127.0,-0.6231580605094392,0.9647636786647844,-0.6231580605094392
122,-0.14981935918331146,-4.737451076507568,49.0,0.11987787020451972,0.9954581155312646,0.11987787020451972
123,-1.2686338424682617,-3.4476845264434814,46.0,0.5143369660547382,0.9954581155312646,0.5143369660547382
124,0.4826793372631073,4.469473838806152,110.0,-0.1399515344033248,0.9954581155312646,-0.1399515344033248
125,-3.36563777923584,-2.121802568435669,25.0,-0.5866928120164094,0.9954581155312646,-0.5866928120164094
126,-0.10641085356473923,8.385003089904785,70.0,-1.123555838941709,0.9647636786647844,-1.123555838941709
127,-1.883659839630127,-4.20952844619751,25.0,2.6021023883309917,0.9647636786647844,2.6021023883309917
128,0.03569081053137779,6.64923620223999,93.0,0.11084847825553655,0.9954581155312646,0.11084847825553655
129,-1.4016873836517334,6.6767191886901855,49.0,-1.5164929103483489,0.9647636786647844,-1.5164929103483489
130,-1.0056414604187012,-4.870872974395752,61.0,0.17011035165716168,0.9954581155312646,0.17011035165716168
131,0.23633083701133728,8.299054145812988,91.0,-0.5890283339407972,0.9647636786647844,-0.5890283339407972
132,-2.9429266452789307,0.35567203164100647,71.0,1.2375774992978184,0.9647636786647844,1.2375774992978184
133,1.0104825496673584,-3.494502067565918,78.0,-0.17665654710040213,0.9954581155312646,-0.17665654710040213
134,-2.1547017097473145,6.900592803955078,112.0,-0.28263010971833297,0.9954581155312646,-0.28263010971833297
135,1.2341535091400146,-3.781789779663086,48.0,-0.7092048548018143,0.9647636786647844,-0.7092048548018143
136,-0.8341295123100281,-3.3149185180664062,33.0,0.3844802945426965,0.9954581155312646,0.3844802945426965
137,0.21209582686424255,8.805145263671875,55.0,-1.0254826496172258,0.9647636786647844,-1.0254826496172258
138,-3.3306684494018555,7.168108940124512,36.0,-0.2136133637881993,0.9954581155312646,-0.2136133637881993
139,-0.2893674969673157,8.841412544250488,44.0,0.4724261028301446,0.9954581155312646,0.4724261028301446
140,0.986004650592804,-2.722299814224243,38.0,0.23413332510772616,0.9954581155312646,0.23413332510772616
141,3.1911237239837646,-1.0812089443206787,18.0,-2.5786574549054952,0.9647636786647844,-2.5786574549054952
142,-1.377730369567871,8.596941947937012,67.0,-1.4581136610159995,0.9647636786647844,-1.4581136610159995
143,-2.172712564468384,10.137967109680176,19.0,-0.015578729164849297,0.99737174149679,-0.015578729164849297
