table,file,md5,rows,columns,source_script
ceacam_cells,ceacam_cells.csv,1ebf66b1c15c7ffc54efc024985310c7,635,2,create_epithelial_milo_pre_rvsnr.py
nhoods,nhoods.csv,d1bf7217b34af52c0a72e8037194cec9,496,7,create_epithelial_milo_pre_rvsnr.py
