,C3_Neu_CXCL8,C0_Neu_S100A12,C2_Neu_TAGLN2,C1_Neu_MMP9,C5_Neu_G0S2,C7_Neu_IGKC,C4_Neu_IFIT3,C6_Neu_CD74
C3_Neu_CXCL8,1.0,0.2857142857142857,0.5238095238095238,0.2857142857142857,0.6956521739130435,0.5217391304347826,0.3333333333333333,0.2857142857142857
C0_Neu_S100A12,0.2857142857142857,1.0,0.5454545454545454,1.0,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.7142857142857143
C2_Neu_TAGLN2,0.5238095238095238,0.5454545454545454,1.0,0.5454545454545454,0.6111111111111112,0.47058823529411764,0.6363636363636364,0.5454545454545454
C1_Neu_MMP9,0.2857142857142857,1.0,0.5454545454545454,1.0,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.7142857142857143
C5_Neu_G0S2,0.6956521739130435,0.3333333333333333,0.6111111111111112,0.3333333333333333,1.0,0.6,0.3888888888888889,0.3333333333333333
C7_Neu_IGKC,0.5217391304347826,0.3333333333333333,0.47058823529411764,0.3333333333333333,0.6,1.0,0.4,0.3333333333333333
C4_Neu_IFIT3,0.3333333333333333,0.8571428571428571,0.6363636363636364,0.8571428571428571,0.3888888888888889,0.4,1.0,0.625
C6_Neu_CD74,0.2857142857142857,0.7142857142857143,0.5454545454545454,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.625,1.0
