,C0_Plasma,C6_B_Germinal_Center,C2_B_Memory_IGHA1,C4_B_Naive_TCL1A,C3_Mast,C3_B_Naive_NR4A1,C1_B_Memory_NR4A1,C5_B_Aged
C0_Plasma,1.0,0.03225806451612903,0.625,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.5806451612903226,0.06451612903225806
C6_B_Germinal_Center,0.03225806451612903,1.0,0.047619047619047616,0.07142857142857142,0.0,0.0,0.05555555555555555,0.5
C2_B_Memory_IGHA1,0.625,0.047619047619047616,1.0,0.6666666666666666,0.19047619047619047,0.38095238095238093,0.7727272727272727,0.09523809523809523
C4_B_Naive_TCL1A,0.45161290322580644,0.07142857142857142,0.6666666666666666,1.0,0.2857142857142857,0.375,0.7777777777777778,0.14285714285714285
C3_Mast,0.12903225806451613,0.0,0.19047619047619047,0.2857142857142857,1.0,0.2,0.2222222222222222,0.0
C3_B_Naive_NR4A1,0.25806451612903225,0.0,0.38095238095238093,0.375,0.2,1.0,0.4444444444444444,0.1111111111111111
C1_B_Memory_NR4A1,0.5806451612903226,0.05555555555555555,0.7727272727272727,0.7777777777777778,0.2222222222222222,0.4444444444444444,1.0,0.1111111111111111
C5_B_Aged,0.06451612903225806,0.5,0.09523809523809523,0.14285714285714285,0.0,0.1111111111111111,0.1111111111111111,1.0
