CellType,Pathway,NES,NOM_pval,FDR_qval
MoMac,TNF-alpha Signaling via NF-kB,1.8939197678722655,0.0,0.0
MoMac,Oxidative Phosphorylation,-1.7260446864284913,0.0,0.0
MoMac,Epithelial Mesenchymal Transition,1.6969446480631765,0.0,0.0005874540253371476
MoMac,Inflammatory Response,1.6722740102992262,0.0,0.0003916360168914317
MoMac,Myc Targets V1,-1.599931278833734,0.0,0.0026623718117275838
MoMac,Protein Secretion,-1.5452250785969552,0.0,0.010945306337102287
MoMac,Hypoxia,1.5317534923288443,0.004739336492890996,0.04552768696362893
MoMac,E2F Targets,-1.5229422592407271,0.0032258064516129032,0.015974230870365504
MoMac,Angiogenesis,1.5004808970476236,0.023622047244094488,0.06321005312627707
MoMac,Hedgehog Signaling,1.460885389274632,0.0399002493765586,0.0877264677836807
MoMac,Myc Targets V2,-1.456068028122536,0.021311475409836064,0.0575072311333158
MoMac,Adipogenesis,-1.4234697832748915,0.01340033500837521,0.08194188798317117
MoMac,Apoptosis,1.3599273115363602,0.06613756613756613,0.21987564948333235
MoMac,Reactive Oxygen Species Pathway,-1.3257685639981809,0.07614213197969544,0.2420222756470456
MoMac,Fatty Acid Metabolism,-1.3240418646300713,0.06239460370994941,0.2156521167499343
MoMac,Apical Surface,1.3005687861326374,0.1485148514851485,0.2988672353902738
MoMac,UV Response Dn,1.299898020990672,0.09186351706036745,0.2668346728420288
MoMac,Pperoxisome,-1.293706440809325,0.10152284263959391,0.25499605574546413
MoMac,Spermatogenesis,-1.2835069171512228,0.11036789297658862,0.2499967131212201
MoMac,Interferon Alpha Response,-1.2553060027543275,0.12605042016806722,0.28551920732436115
MoMac,IL-6/JAK/STAT3 Signaling,1.2400833819118888,0.17048346055979643,0.35188496117695134
MoMac,KRAS Signaling Up,1.239451326237289,0.14698162729658792,0.32139075677081397
MoMac,IL-2/STAT5 Signaling,1.2183871754643785,0.14824797843665768,0.32701607410434547
MoMac,Cholesterol Homeostasis,-1.2107558791281847,0.19249592169657423,0.35912437549303183
MoMac,G2-M Checkpoint,-1.2060240577663657,0.15097402597402598,0.3421489107789398
MoMac,KRAS Signaling Dn,-1.1961440135468557,0.16346153846153846,0.33894528755493786
MoMac,Xenobiotic Metabolism,-1.1956464569619571,0.14896988906497624,0.31723639232185114
MoMac,Androgen Response,-1.190997365346542,0.20973154362416108,0.30711568169865894
MoMac,DNA Repair,-1.162013277237193,0.22388059701492538,0.34610833552458586
MoMac,Myogenesis,1.1400325769030686,0.23229461756373937,0.4456516613749961
MoMac,Interferon Gamma Response,1.1357585844719493,0.24146981627296588,0.4214563021775935
MoMac,Notch Signaling,-1.1062349472971091,0.34539473684210525,0.4386011043912701
MoMac,Allograft Rejection,1.0897634663729068,0.3099273607748184,0.4770909957771421
MoMac,Mitotic Spindle,-1.0453018111054018,0.36217948717948717,0.5486354263254771
MoMac,TGF-beta Signaling,1.0341220498092618,0.40992167101827676,0.5566126890069473
MoMac,Glycolysis,1.0245704252516457,0.3979591836734694,0.5419090603139499
MoMac,Coagulation,-1.0146487512112727,0.4368770764119601,0.5890497633447278
MoMac,PI3K/AKT/mTOR  Signaling,-1.0079500687699097,0.4472361809045226,0.5751568310732129
MoMac,p53 Pathway,1.0075403278371091,0.45073891625615764,0.544439336148572
MoMac,heme Metabolism,-1.000872923946462,0.45791245791245794,0.5653506203236679
MoMac,Bile Acid Metabolism,-0.9710169543350835,0.47920133111480867,0.6023905612274063
MoMac,mTORC1 Signaling,-0.9691547341479817,0.5243697478991597,0.5814324217722852
MoMac,Complement,0.9595445920742404,0.48787061994609165,0.6057578560213366
MoMac,UV Response Up,0.942503227843218,0.533678756476684,0.6092485696771558
MoMac,Unfolded Protein Response,-0.9270207251299244,0.5943396226415094,0.6397501972127267
MoMac,Estrogen Response Late,-0.9036955482774773,0.6276422764227643,0.6618383260179211
MoMac,Apical Junction,0.8985520342682365,0.6332378223495702,0.666844240761282
MoMac,Estrogen Response Early,-0.8758100859077919,0.6944908180300501,0.6898172495398369
MoMac,Wnt-beta Catenin Signaling,0.823689525771837,0.7102564102564103,0.8023019838763605
MoMac,Pancreas Beta Cells,0.8043617242881621,0.7382075471698113,0.8107376379239886
