group,CEACAM5,CEACAM6,tex_fraction
Other,0.48605138063430786,0.610612154006958,6.427503736920777
Other,0.3051033616065979,0.4246631860733032,9.195402298850574
Other,0.20748108625411987,0.13960303366184235,7.488986784140969
Other,1.5701074600219727,1.358092188835144,17.484662576687114
Other,1.0406309366226196,0.6379155516624451,23.357664233576642
Post-R,0.1454143077135086,0.39210042357444763,7.142857142857142
Post-R,0.5367982983589172,0.09996772557497025,12.311557788944723
Post-R,0.8809165358543396,0.7579306364059448,25.503355704697988
Post-NR,1.5356580018997192,0.9344691634178162,2.549019607843137
Pre-NR,0.40097150206565857,0.44494912028312683,4.918032786885246
Pre-R,0.10779460519552231,0.16260072588920593,19.1027496382055
Pre-R,0.5391865372657776,0.3020540773868561,5.898123324396782
Post-NR,0.5679935216903687,1.288804531097412,11.458333333333332
Post-NR,0.6275147199630737,0.4150243401527405,5.2
Pre-NR,1.1798279285430908,1.2002261877059937,7.110438729198185
Pre-NR,1.7269937992095947,1.9171007871627808,13.636363636363635
Other,1.135538935661316,1.2371280193328857,24.203821656050955
Other,1.5346083641052246,1.3007694482803345,24.615384615384617
Post-NR,1.4192718267440796,0.9630517363548279,17.41424802110818
Post-R,1.5276018381118774,2.115515947341919,8.080808080808081
Other,0.15840594470500946,0.046952005475759506,13.157894736842104
Other,0.19759519398212433,0.11531050503253937,8.280254777070063
Other,0.3976977467536926,0.5680667161941528,6.8181818181818175
Other,0.06642009317874908,0.05564861744642258,3.9408866995073892
Other,1.4347078800201416,0.8793436884880066,17.23388848660391
Pre-R,0.480430006980896,0.8269622921943665,1.4388489208633095
Pre-R,0.3385651111602783,0.10972172766923904,6.299212598425196
Pre-NR,1.2549368143081665,0.8774144649505615,8.560311284046692
Post-R,0.6648699641227722,0.598177969455719,9.51276102088167
Post-NR,1.3271161317825317,1.1642765998840332,9.865470852017937
Other,0.022602729499340057,0.09211956709623337,11.987041036717063
Post-NR,0.9099461436271667,0.8571205139160156,15.625
