order,label,group,metric,med,q1,q3,whislo,whishi
18,P06-P2,Post-NR,n_genes_by_counts,770.0,486.75,1405.0,203.0,2777.0
18,P06-P2,Post-NR,total_counts,1863.0,961.75,4509.25,501.0,9827.0
18,P06-P2,Post-NR,pct_counts_mt,12.752750873565674,9.549241304397583,16.60443878173828,0.35190993547439575,24.992244720458984
19,P15-P1,Not selected,n_genes_by_counts,970.5,507.0,1755.0,251.0,3626.0
19,P15-P1,Not selected,total_counts,2108.0,1033.75,8684.25,497.0,20111.0
19,P15-P1,Not selected,pct_counts_mt,6.238711357116699,4.127230286598206,8.70268177986145,0.07600516825914383,15.559999465942383
20,P17-P1,Not selected,n_genes_by_counts,1123.0,682.75,1630.0,239.0,3050.0
20,P17-P1,Not selected,total_counts,2821.0,1467.5,4803.25,499.0,9781.0
20,P17-P1,Not selected,pct_counts_mt,10.069252490997314,7.418689846992493,13.685905456542969,0.5568708777427673,23.061851501464844
21,P18-P1,Not selected,n_genes_by_counts,1176.0,734.0,2229.0,166.0,4468.0
21,P18-P1,Not selected,total_counts,2923.0,1595.0,7268.0,501.0,15773.0
21,P18-P1,Not selected,pct_counts_mt,13.905486106872559,10.644678115844727,18.189828872680664,1.3864564895629883,24.97944450378418
22,P19-P1,Not selected,n_genes_by_counts,995.0,617.0,1658.0,251.0,3218.0
22,P19-P1,Not selected,total_counts,2065.5,1147.75,6948.5,498.0,15649.0
22,P19-P1,Not selected,pct_counts_mt,7.920024156570435,5.320037126541138,11.86791443824768,0.32968202233314514,21.68968391418457
23,P20-P1,Not selected,n_genes_by_counts,817.0,531.0,1607.5,253.0,3220.0
23,P20-P1,Not selected,total_counts,1877.5,1103.0,4272.0,501.0,9000.0
23,P20-P1,Not selected,pct_counts_mt,8.573898792266846,5.840407609939575,12.472116947174072,0.6130410432815552,22.419353485107422
24,P28-P1,Not selected,n_genes_by_counts,621.0,443.0,1045.0,200.0,1946.0
24,P28-P1,Not selected,total_counts,2150.0,1264.0,4104.0,501.0,8363.0
24,P28-P1,Not selected,pct_counts_mt,9.038737297058105,6.382978916168213,12.896406173706055,0.4252347946166992,22.659175872802734
25,P33-P1,Not selected,n_genes_by_counts,723.0,492.0,1311.0,265.0,2534.0
25,P33-P1,Not selected,total_counts,1646.0,957.0,3794.75,500.0,8049.0
25,P33-P1,Not selected,pct_counts_mt,10.732065677642822,7.783107399940491,14.671571969985962,0.4216955006122589,24.957555770874023
26,P35-P1,Not selected,n_genes_by_counts,680.5,399.0,1559.75,229.0,3300.0
26,P35-P1,Not selected,total_counts,1493.0,809.0,5672.5,499.0,12930.0
26,P35-P1,Not selected,pct_counts_mt,7.269543409347534,5.0266841650009155,10.393764734268188,0.663129985332489,18.424591064453125
27,P29-P1,Not selected,n_genes_by_counts,783.5,477.0,1216.25,161.0,2321.0
27,P29-P1,Not selected,total_counts,2616.0,1424.0,7337.0,501.0,16190.0
27,P29-P1,Not selected,pct_counts_mt,6.025484085083008,3.187425374984741,9.471540689468384,0.2287282645702362,18.832117080688477
28,P30-P1,Not selected,n_genes_by_counts,683.0,445.0,1125.25,257.0,2145.0
28,P30-P1,Not selected,total_counts,1369.0,809.0,2860.0,496.0,5934.0
28,P30-P1,Not selected,pct_counts_mt,8.653846740722656,5.8992840051651,12.058883905410767,0.18993352353572845,21.2904109954834
29,P31-P1,Not selected,n_genes_by_counts,833.0,472.0,1392.25,232.0,2767.0
29,P31-P1,Not selected,total_counts,2039.0,957.75,4584.25,497.0,10020.0
29,P31-P1,Not selected,pct_counts_mt,9.120367527008057,6.11776876449585,12.620368719100952,0.23419202864170074,22.29943084716797
30,P32-P1,Not selected,n_genes_by_counts,929.0,606.0,1393.0,255.0,2573.0
30,P32-P1,Not selected,total_counts,2064.0,1181.0,4110.0,501.0,8502.0
30,P32-P1,Not selected,pct_counts_mt,13.677536010742188,9.93197250366211,17.987533569335938,0.770031213760376,24.98853874206543
31,P07-P2,Not selected,n_genes_by_counts,759.0,488.0,1383.0,283.0,2725.0
31,P07-P2,Not selected,total_counts,1522.0,846.0,3656.0,501.0,7871.0
31,P07-P2,Not selected,pct_counts_mt,10.506352424621582,8.155583381652832,13.643659591674805,0.044762756675481796,21.87134552001953
