order,label,group,metric,med,q1,q3,whislo,whishi
18,P25-B1,Peripheral blood,total_counts,1950.5,1403.0,3683.0,500.0,7098.0
18,P25-B1,Peripheral blood,pct_counts_mt,3.7375036478042603,2.4338844418525696,6.360447525978088,0.20366600155830383,12.249361991882324
19,P29-B1,Peripheral blood,n_genes_by_counts,1213.5,855.75,1678.25,298.0,2908.0
19,P29-B1,Peripheral blood,total_counts,2878.0,1878.0,4453.0,501.0,8312.0
19,P29-B1,Peripheral blood,pct_counts_mt,5.886508941650391,3.9694331288337708,7.544297695159912,0.19960080087184906,12.877263069152832
20,P30-B1,Peripheral blood,n_genes_by_counts,517.0,431.0,616.0,250.0,893.0
20,P30-B1,Peripheral blood,total_counts,1100.0,871.0,1390.0,499.0,2168.0
20,P30-B1,Peripheral blood,pct_counts_mt,1.9762846231460571,1.4773776531219482,2.6254827976226807,0.09337068349123001,4.3418192863464355
21,P31-B1,Peripheral blood,n_genes_by_counts,1584.0,1110.75,2206.25,279.0,3825.0
21,P31-B1,Peripheral blood,total_counts,4225.5,2605.75,6878.0,499.0,13278.0
21,P31-B1,Peripheral blood,pct_counts_mt,6.564762592315674,5.265661954879761,7.970809698104858,1.2226184606552124,12.020334243774414
22,P32-B1,Peripheral blood,n_genes_by_counts,818.0,662.0,1010.0,227.0,1532.0
22,P32-B1,Peripheral blood,total_counts,2065.0,1563.75,2688.25,501.0,4372.0
22,P32-B1,Peripheral blood,pct_counts_mt,2.384784698486328,1.7107072472572327,4.675477623939514,0.11862396448850632,9.105690956115723
23,P28-LN1_2,Lymph node,n_genes_by_counts,972.0,776.0,1189.0,180.0,1807.0
23,P28-LN1_2,Lymph node,total_counts,2384.0,1782.0,3104.25,500.0,5086.0
23,P28-LN1_2,Lymph node,pct_counts_mt,9.37839126586914,7.292793154716492,11.812376022338867,0.7127848267555237,18.53675651550293
24,P28-LN1_1,Lymph node,n_genes_by_counts,856.0,663.25,1064.0,199.0,1665.0
24,P28-LN1_1,Lymph node,total_counts,1903.0,1358.0,2530.0,500.0,4287.0
24,P28-LN1_1,Lymph node,pct_counts_mt,8.097923278808594,6.1743323802948,10.611682891845703,0.1342281997203827,17.249656677246094
25,P35-LN1_2,Lymph node,n_genes_by_counts,783.5,619.0,1071.75,254.0,1750.0
25,P35-LN1_2,Lymph node,total_counts,1534.0,1117.0,2285.0,500.0,4028.0
25,P35-LN1_2,Lymph node,pct_counts_mt,7.5901830196380615,5.938697338104248,9.75758671760559,0.7571344971656799,15.482954978942871
26,P30-LN1_2,Lymph node,n_genes_by_counts,865.0,677.0,1126.0,267.0,1799.0
26,P30-LN1_2,Lymph node,total_counts,2034.5,1457.75,2845.5,500.0,4916.0
26,P30-LN1_2,Lymph node,pct_counts_mt,8.82309103012085,6.963910698890686,11.00577425956726,0.9020901918411255,17.062089920043945
27,P31-LN1_2,Lymph node,n_genes_by_counts,1086.0,851.0,1317.0,281.0,2015.0
27,P31-LN1_2,Lymph node,total_counts,2734.5,1969.0,3587.5,501.0,6011.0
27,P31-LN1_2,Lymph node,pct_counts_mt,8.582891941070557,6.826516389846802,10.767858266830444,0.9254974126815796,16.654544830322266
28,P35-LN1_1,Lymph node,n_genes_by_counts,801.0,630.0,997.0,182.0,1547.0
28,P35-LN1_1,Lymph node,total_counts,1629.0,1219.0,2160.0,499.0,3571.0
