x,y,cell_type
1.08049,17.32297,B cells
3.73053,19.55803,B cells
2.26661,18.29148,B cells
1.54787,18.49895,B cells
3.06971,18.57719,B cells
-0.26516,20.28606,B cells
1.55785,19.56424,B cells
1.35149,20.9631,B cells
1.69016,19.16079,B cells
1.90627,18.63358,B cells
0.98225,19.11036,B cells
0.12042,19.43657,B cells
1.22288,20.32583,B cells
1.83314,20.37331,B cells
3.02988,19.1622,B cells
0.75442,19.35017,B cells
0.47322,18.82215,B cells
2.59263,19.79603,B cells
1.8749,19.58751,B cells
2.25073,18.58313,B cells
0.59525,20.24418,B cells
3.34883,19.78617,B cells
2.10396,18.2698,B cells
0.91391,19.44881,B cells
1.01205,18.13696,B cells
1.90629,19.19963,B cells
3.83274,19.28164,B cells
1.48398,18.50762,B cells
-0.49189,17.30416,B cells
1.75323,18.99332,B cells
1.50086,17.6361,B cells
0.38235,20.60127,B cells
2.20861,20.84764,B cells
1.26454,18.99819,B cells
2.89239,20.59108,B cells
3.54624,19.34602,B cells
0.31689,18.24293,B cells
0.66682,19.50614,B cells
2.68655,19.774,B cells
2.54254,19.39116,B cells
1.05519,20.54182,B cells
1.46046,18.94403,B cells
2.51038,17.95803,B cells
2.37437,18.49203,B cells
1.39663,18.1768,B cells
1.78121,19.73981,B cells
2.74203,19.37296,B cells
-0.53375,18.11132,B cells
2.24608,18.50119,B cells
3.28035,19.68146,B cells
2.64183,18.74053,B cells
3.53751,19.46961,B cells
0.10029,18.68036,B cells
3.21813,18.65956,B cells
1.72189,18.4196,B cells
2.48623,17.97207,B cells
2.03897,19.43333,B cells
0.00997,17.66128,B cells
1.41598,17.40448,B cells
-0.2167,19.13651,B cells
2.6817,21.18095,B cells
1.31779,18.44094,B cells
1.50331,21.31347,B cells
0.75398,19.53193,B cells
2.53322,18.42269,B cells
1.67552,21.02892,B cells
2.45573,19.00545,B cells
3.18255,20.51614,B cells
-0.432,17.72534,B cells
-0.73956,18.63892,B cells
1.31578,17.55424,B cells
2.47694,19.11633,B cells
2.66905,17.95829,B cells
2.36529,18.99128,B cells
0.43345,17.93077,B cells
2.82703,18.90674,B cells
3.03379,19.8529,B cells
3.63341,20.96014,B cells
1.5467,18.44703,B cells
1.69005,20.20814,B cells
3.79608,19.48263,B cells
-0.02431,17.52231,B cells
0.12511,19.88755,B cells
1.00088,18.2873,B cells
2.25029,20.54719,B cells
1.86489,20.94191,B cells
3.79923,19.32849,B cells
0.04756,18.14289,B cells
8.53956,8.8763,B cells
2.19085,21.50191,B cells
1.56907,18.1045,B cells
2.76939,18.72672,B cells
0.58908,19.06257,B cells
2.21092,20.35143,B cells
3.60674,19.72477,B cells
3.78421,19.70552,B cells
0.86076,18.99834,B cells
2.08104,18.69394,B cells
3.73531,19.69982,B cells
-0.80424,18.12502,B cells
3.57298,20.85207,B cells
1.68703,19.85415,B cells
2.38252,18.69317,B cells
3.4417,20.70627,B cells
1.62349,17.94224,B cells
0.24876,19.93623,B cells
-0.50559,20.2329,B cells
2.09818,21.01414,B cells
-0.04259,18.52781,B cells
1.69082,18.22812,B cells
0.69938,19.61262,B cells
1.85851,18.98345,B cells
0.4104,18.9512,B cells
2.89816,18.42243,B cells
2.67273,19.11216,B cells
3.4755,20.97295,B cells
2.72124,18.68007,B cells
2.50213,21.249,B cells
2.63868,18.65868,B cells
1.40096,19.81469,B cells
-0.04982,18.47311,B cells
0.94742,18.1751,B cells
2.5668,19.50944,B cells
2.36025,19.14691,B cells
1.93411,18.70197,B cells
3.41485,20.24859,B cells
3.15281,21.08256,B cells
2.42457,20.50585,B cells
0.76295,19.25111,B cells
3.29496,21.15168,B cells
1.07379,18.70195,B cells
2.12789,19.85626,B cells
1.45067,18.98763,B cells
2.02606,20.16037,B cells
1.62511,18.41691,B cells
-0.22679,18.75953,B cells
2.45957,18.79766,B cells
0.54836,19.13921,B cells
2.94129,20.2981,B cells
1.75015,19.34764,B cells
1.30383,19.83859,B cells
