x,y,value
1.7686902284622192,4.840458393096924,0.0
-0.7753066420555115,3.131962299346924,0.0
1.8203282356262207,8.000168800354004,1.5156540870666504
1.7869333028793335,4.460730075836182,0.0
-2.1213879585266113,10.305740356445312,1.589577555656433
0.18289338052272797,5.965559005737305,2.8160624504089355
0.701729416847229,9.140024185180664,0.0
-0.721032977104187,4.691699981689453,0.0
2.8001906871795654,6.666482448577881,0.0
1.5690028667449951,8.620880126953125,0.0
2.8011035919189453,3.7149484157562256,0.0
-1.7805752754211426,7.4761962890625,2.6801276206970215
3.264820098876953,6.096738338470459,1.83867609500885
8.799942970275879,5.462562561035156,0.0
2.9695658683776855,8.652464866638184,0.0
1.8236088752746582,5.7453179359436035,0.0
2.3623905181884766,7.212611198425293,0.0
0.9074247479438782,6.943155765533447,0.0
-0.00058314623311162,8.21694564819336,1.7318613529205322
0.9926198720932007,8.856407165527344,0.0
3.1887519359588623,5.81569766998291,0.0
-1.4579375982284546,5.602441310882568,0.0
3.96838641166687,6.02183723449707,0.0
2.1761832237243652,5.050922870635986,0.0
2.2992210388183594,5.123153209686279,0.0
1.1353671550750732,6.106144905090332,2.154311418533325
3.8332114219665527,7.781440734863281,0.0
3.6074461936950684,4.602542877197266,0.0
2.7634658813476562,6.503998756408691,0.0
1.5466166734695435,9.267939567565918,0.0
4.792639255523682,3.754587411880493,0.0
2.9365346431732178,8.6151123046875,0.0
0.04116610810160637,1.2877954244613647,0.0
-0.8187628388404846,7.745199680328369,0.0
-0.2608274519443512,7.581035614013672,0.0
1.6002426147460938,8.937971115112305,0.0
7.009944438934326,2.9232192039489746,0.0
1.511698842048645,7.076325416564941,0.0
2.6495559215545654,3.6280970573425293,0.0
7.6521759033203125,2.566608190536499,0.0
2.148956537246704,8.550108909606934,1.3821090459823608
1.2503300905227661,6.870631217956543,0.0
2.7847888469696045,2.3632256984710693,0.0
3.5925331115722656,5.136969566345215,0.0
0.4887317419052124,1.775762677192688,0.0
-0.6726189255714417,9.872345924377441,0.0
2.7394497394561768,7.7767744064331055,0.0
5.652835845947266,3.6334714889526367,0.0
-0.5859003067016602,0.5975130200386047,0.0
2.5612897872924805,2.562894344329834,0.0
-0.8203410506248474,1.2734451293945312,0.0
3.3196780681610107,4.479030609130859,3.0910234451293945
1.1982108354568481,7.2661309242248535,2.4181389808654785
7.0120768547058105,2.8742308616638184,0.0
2.7404990196228027,3.5595626831054688,0.0
2.9709601402282715,8.415693283081055,0.0
1.5971105098724365,7.534749507904053,1.7133512496948242
1.255202054977417,7.146905422210693,0.0
2.356633424758911,8.663192749023438,0.0
2.0334439277648926,8.759035110473633,0.0
2.1818199157714844,2.1979849338531494,0.0
1.5041698217391968,5.421416282653809,0.0
2.0632834434509277,4.177514553070068,0.0
-0.6499089002609253,6.221795558929443,0.0
6.760476112365723,2.9799790382385254,0.0
3.103915214538574,6.3729095458984375,0.0
-3.2172746658325195,9.79251480102539,0.0
-0.852013111114502,5.719568729400635,2.496675491333008
-4.311685562133789,8.27953052520752,0.0
2.7419633865356445,6.896858215332031,0.0
1.498123288154602,0.6839514374732971,0.0
3.8347325325012207,6.63939094543457,0.0
1.3916172981262207,4.011667251586914,0.0
0.9074513912200928,4.300107955932617,2.1610782146453857
-1.1186723709106445,4.509754657745361,0.0
1.8987764120101929,2.6056976318359375,2.1072309017181396
8.80977725982666,4.201570987701416,0.0
3.640608549118042,6.109217643737793,0.0
-1.898552417755127,8.40422534942627,0.0
0.1783585250377655,6.493265628814697,0.0
1.4445468187332153,3.24517560005188,0.0
3.1413443088531494,8.540016174316406,2.314643383026123
5.094595432281494,3.972174644470215,0.0
-0.5358308553695679,7.425823211669922,0.0
3.91294002532959,6.4842119216918945,0.0
0.9731794595718384,2.8639285564422607,0.0
5.507724285125732,3.922913074493408,0.0
-0.7624530792236328,8.28310775756836,2.5448787212371826
1.9596731662750244,8.691930770874023,0.0
2.3749184608459473,5.7214508056640625,0.0
0.540779709815979,8.594961166381836,0.0
2.2515006065368652,8.715363502502441,1.565488338470459
0.7902565002441406,7.020461082458496,0.0
1.0524204969406128,5.116380214691162,0.0
2.2128095626831055,6.973843097686768,0.0
0.9202266335487366,4.568451404571533,0.0
-2.400472402572632,2.0998525619506836,0.0
8.23691177368164,4.18079137802124,0.0
1.1208773851394653,2.188814163208008,0.0
4.091136932373047,4.881167411804199,0.0
