x,y,n_genes,total_counts,pct_mt,doublet_score
1.7567312717437744,21.020647048950195,1051.0,2535.0,12.110453605651855,0.07435897435897436
1.3045278787612915,21.236980438232422,897.0,1834.0,13.086150169372559,0.03220973782771535
1.9425870180130005,18.88324546813965,446.0,893.0,13.54983139038086,0.009873834339001648
-0.3848603069782257,17.870718002319336,604.0,1392.0,20.833332061767578,0.01986754966887417
2.638127088546753,18.67219352722168,529.0,1012.0,13.932806015014648,0.018688413183826028
1.0630511045455933,18.657745361328125,431.0,856.0,17.873830795288086,0.008434370057986295
0.28374233841896057,20.50846290588379,303.0,549.0,17.122039794921875,0.017026850032743943
-0.5296308994293213,17.577342987060547,319.0,616.0,21.428571701049805,0.011032531824611032
1.6149816513061523,20.252920150756836,337.0,599.0,16.026710510253906,0.012695600826690287
1.5721595287322998,19.395328521728516,437.0,841.0,14.26872730255127,0.02761982128350934
0.24097655713558197,20.817686080932617,328.0,621.0,18.679548263549805,0.005283381364073007
2.9604082107543945,20.234786987304688,678.0,1397.0,10.450966835021973,0.09606587374199452
-0.5038045048713684,18.55577278137207,448.0,1079.0,20.018535614013672,0.01756711965528671
1.4450823068618774,18.143911361694336,411.0,771.0,14.915694236755371,0.026025236593059935
1.0804898738861084,17.322965621948242,489.0,1057.0,16.367076873779297,0.01756711965528671
1.4604558944702148,18.94402503967285,480.0,873.0,15.578465461730957,0.01548183254344392
2.246084451675415,18.50118637084961,518.0,1038.0,12.813101768493652,0.01649951472015529
1.6900473833084106,20.20813751220703,347.0,586.0,14.67576789855957,0.006168270416975082
1.56907320022583,18.104503631591797,547.0,1203.0,16.375728607177734,0.008783603939313283
-0.5055930614471436,20.2329044342041,518.0,1097.0,19.143117904663086,0.007755946225439504
0.762951672077179,19.251108169555664,1574.0,4596.0,8.507397651672363,0.04932094353109364
3.29496169090271,21.15167808532715,805.0,1502.0,7.72303581237793,0.05358490566037736
1.4506709575653076,18.987632751464844,1108.0,2381.0,9.953800201416016,0.05835331734612308
1.3637524843215942,20.209871292114258,591.0,1210.0,9.090909004211426,0.017570281124497995
1.4483219385147095,20.670106887817383,556.0,965.0,10.155440330505371,0.02535377358490566
2.7652032375335693,19.53030014038086,874.0,1736.0,6.221198081970215,0.017159910470032336
3.0559468269348145,20.654029846191406,1104.0,2159.0,5.141269207000732,0.015591268889421923
1.2082690000534058,18.219289779663086,518.0,968.0,11.466941833496094,0.020671140939597318
0.8968200087547302,18.20856285095215,898.0,2108.0,12.47628116607666,0.010291955471539596
2.4536237716674805,18.674949645996094,819.0,1608.0,6.840795993804932,0.011800699300699304
1.631216287612915,19.767637252807617,927.0,1971.0,8.777270317077637,0.01884843790343403
1.1585065126419067,21.201618194580078,1031.0,2232.0,7.57168436050415,0.008896077638495755
2.6912739276885986,19.62344741821289,608.0,1045.0,7.177033424377441,0.03400893163861216
-0.19531846046447754,18.43006134033203,768.0,1655.0,16.25377655029297,0.00916683642289672
3.1987829208374023,19.592683792114258,1645.0,3987.0,4.238776206970215,0.017988345578920702
1.750490427017212,18.756980895996094,1314.0,3079.0,7.567392349243164,0.020202020202020207
3.3033788204193115,19.37047004699707,924.0,2124.0,5.555555820465088,0.03249581239530988
2.932453155517578,18.60930633544922,1212.0,2835.0,7.9365081787109375,0.09102990033222588
2.9556353092193604,19.879962921142578,562.0,1023.0,8.113391876220703,0.021637907422623944
0.8888086080551147,18.639684677124023,825.0,1695.0,9.380531311035156,0.01841432225063939
2.860513210296631,19.347707748413086,947.0,2074.0,5.255545139312744,0.015972894482091
-0.45460161566734314,18.514442443847656,1098.0,2680.0,17.05223846435547,0.020671140939597318
2.6242516040802,20.788389205932617,693.0,1333.0,6.751688003540039,0.03904797322424693
0.58107590675354,17.366607666015625,744.0,1508.0,12.997346878051758,0.042896497441951974
3.7820417881011963,19.621715545654297,1253.0,2263.0,3.6676976680755615,0.023693976591493006
0.7119255661964417,21.12851905822754,851.0,1823.0,8.667032241821289,0.008896077638495755
1.8608009815216064,19.208648681640625,780.0,1570.0,8.343949317932129,0.026522001205545508
2.795009136199951,19.909040451049805,591.0,1005.0,6.368159294128418,0.019742037378257436
0.558671236038208,20.830169677734375,698.0,1466.0,12.005456924438477,0.014130182997451937
2.2556841373443604,18.70716094970703,1179.0,3183.0,7.068803310394287,0.019290928050052142
1.5875804424285889,20.88347053527832,1426.0,3469.0,8.100317001342773,0.008896077638495755
2.3287453651428223,20.99998664855957,603.0,1348.0,8.308605194091797,0.03036175710594315
3.1559247970581055,18.57675552368164,719.0,1404.0,9.116808891296387,0.021637907422623944
2.2511751651763916,18.60516357421875,1020.0,2188.0,7.312614440917969,0.01841432225063939
3.4948859214782715,20.867267608642578,589.0,1242.0,6.5217390060424805,0.11556982343499199
1.944115161895752,19.53130340576172,578.0,1118.0,9.481216430664062,0.017570281124497995
1.4995750188827515,18.924406051635742,1124.0,2361.0,7.285048961639404,0.013436574812115692
-0.2122698873281479,18.515159606933594,655.0,1267.0,12.707182884216309,0.0226446743080794
3.32539963722229,20.935012817382812,590.0,1091.0,7.516040802001953,0.02213613724405091
2.8043107986450195,20.80849838256836,382.0,595.0,8.907563209533691,0.01884843790343403
1.1621079444885254,18.41655731201172,1284.0,3376.0,8.086492538452148,0.025931445603576755
