order,sample,cell_type,proportion
9,P25-M1,Fibroblasts,0.0038548451415658645
9,P25-M1,Hepatocytes,0.09743453409544064
9,P25-M1,Mast cells,0.0009304798617572776
9,P25-M1,Monocytes/Macrophages,0.18224112720988966
9,P25-M1,Neutrophils,0.023394922238468695
9,P25-M1,Pericytes,0.002392662501661571
9,P25-M1,Plasma cells,0.0034560680579556026
9,P25-M1,T/NK cells,0.5249235677256414
10,P16-M1,B cells,0.07133541992696922
10,P16-M1,Dendritic cells,0.028169014084507043
10,P16-M1,Endothelial cells,0.008607198748043818
10,P16-M1,Epithelial cells,0.22874282733437662
10,P16-M1,Fibroblasts,0.002347417840375587
10,P16-M1,Hepatocytes,0.03390714658320292
10,P16-M1,Mast cells,0.0019561815336463224
10,P16-M1,Monocytes/Macrophages,0.1429316640584246
10,P16-M1,Neutrophils,0.003390714658320292
10,P16-M1,Pericytes,0.004434011476264998
10,P16-M1,Plasma cells,0.005086071987480438
10,P16-M1,T/NK cells,0.4690923317683881
11,P10-M2,B cells,0.00014184397163120567
11,P10-M2,Dendritic cells,0.003829787234042553
11,P10-M2,Endothelial cells,0.0022695035460992908
11,P10-M2,Epithelial cells,0.7119148936170213
11,P10-M2,Fibroblasts,0.001276595744680851
11,P10-M2,Hepatocytes,0.0036879432624113474
11,P10-M2,Mast cells,0.0007092198581560284
11,P10-M2,Monocytes/Macrophages,0.05049645390070922
11,P10-M2,Neutrophils,0.013900709219858157
11,P10-M2,Pericytes,0.0014184397163120568
11,P10-M2,Plasma cells,0.0029787234042553193
11,P10-M2,T/NK cells,0.2073758865248227
12,P14-M2,B cells,0.009621678230134835
12,P14-M2,Dendritic cells,0.013156172273857835
12,P14-M2,Endothelial cells,0.011323471658594058
12,P14-M2,Epithelial cells,0.19668804817384475
12,P14-M2,Fibroblasts,0.004319937164550334
12,P14-M2,Hepatocytes,0.15361958371514597
12,P14-M2,Mast cells,0.0005236287472182222
12,P14-M2,Monocytes/Macrophages,0.2248330933368242
12,P14-M2,Neutrophils,0.02395601518523367
12,P14-M2,Pericytes,0.008050791988480167
12,P14-M2,Plasma cells,0.005367194658986778
12,P14-M2,T/NK cells,0.3485403848671292
13,P27-M1,B cells,0.0033629594042757626
13,P27-M1,Dendritic cells,0.035551285130915204
13,P27-M1,Endothelial cells,0.014773000240211385
13,P27-M1,Epithelial cells,0.06641844823444631
13,P27-M1,Fibroblasts,0.00180158539514773
13,P27-M1,Hepatocytes,0.021739130434782608
13,P27-M1,Mast cells,0.0
13,P27-M1,Monocytes/Macrophages,0.6973336536151814
13,P27-M1,Neutrophils,0.07686764352630315
13,P27-M1,Pericytes,0.0034830650972856115
13,P27-M1,Plasma cells,0.00024021138601969732
13,P27-M1,T/NK cells,0.07842901753543118
14,P08-M1,B cells,0.0004092490280335584
14,P08-M1,Dendritic cells,0.008184980560671169
14,P08-M1,Endothelial cells,0.41559238796807857
14,P08-M1,Epithelial cells,0.14262328626969512
14,P08-M1,Fibroblasts,0.011868221812973194
14,P08-M1,Hepatocytes,0.0016369961121342337
14,P08-M1,Mast cells,0.001841620626151013
14,P08-M1,Monocytes/Macrophages,0.240024554941682
14,P08-M1,Neutrophils,0.0
14,P08-M1,Pericytes,0.09371802741968488
14,P08-M1,Plasma cells,0.0004092490280335584
14,P08-M1,T/NK cells,0.0836914262328627
15,P26-B1,B cells,0.0083929126515387
15,P26-B1,Dendritic cells,0.005077194073153041
15,P26-B1,Endothelial cells,0.0
15,P26-B1,Epithelial cells,0.000725313439021863
15,P26-B1,Fibroblasts,0.0
15,P26-B1,Hepatocytes,0.0
15,P26-B1,Mast cells,0.0018650917003419335
15,P26-B1,Monocytes/Macrophages,0.12734431665112422
15,P26-B1,Neutrophils,0.6765102061962491
15,P26-B1,Pericytes,0.0
15,P26-B1,Plasma cells,0.0018650917003419335
15,P26-B1,T/NK cells,0.1782198735882292
16,P33-B1,B cells,0.01247493873914012
16,P33-B1,Dendritic cells,0.0051236355535754065
16,P33-B1,Endothelial cells,0.0
16,P33-B1,Epithelial cells,0.0005569169079973268
16,P33-B1,Fibroblasts,0.0
16,P33-B1,Hepatocytes,0.0
16,P33-B1,Mast cells,0.007351303185564714
16,P33-B1,Monocytes/Macrophages,0.1867899309423034
16,P33-B1,Neutrophils,0.5728447315660503
16,P33-B1,Pericytes,0.0
16,P33-B1,Plasma cells,0.004009801737580753
16,P33-B1,T/NK cells,0.21084874136778792
17,P34-B2,B cells,0.008732593816379515
17,P34-B2,Dendritic cells,0.004956337030918102
17,P34-B2,Endothelial cells,0.0
17,P34-B2,Epithelial cells,0.002360160490913382
17,P34-B2,Fibroblasts,0.0
17,P34-B2,Hepatocytes,0.00035402407363700734
17,P34-B2,Mast cells,0.003422232711824404
17,P34-B2,Monocytes/Macrophages,0.0855558177956101
17,P34-B2,Neutrophils,0.7690582959641256
17,P34-B2,Pericytes,0.0
17,P34-B2,Plasma cells,0.002478168515459051
17,P34-B2,T/NK cells,0.12308236960113288
18,P28-B1,B cells,0.014402810304449648
18,P28-B1,Dendritic cells,0.013466042154566744
